Dataset	PlexID
PTRC_exp10_Plex_04_P_f01_25Feb20_Rage_Rep-20-01-03	Plex_04
PTRC_exp10_Plex_05_P_f01_25Feb20_Rage_Rep-20-01-03	Plex_05
PTRC_exp10_Plex_02_P_f01_25Feb20_Rage_Rep-20-01-03	Plex_02
PTRC_exp10_Plex_01_P_f01_25Feb20_Rage_Rep-20-01-03	Plex_01
PTRC_exp10_Plex_07_P_f01_25Feb20_Rage_Rep-20-01-03	Plex_07
PTRC_exp10_Plex_06_P_f01_25Feb20_Rage_Rep-20-01-03	Plex_06
PTRC_exp10_Plex_03_P_f01_25Feb20_Rage_Rep-20-01-03	Plex_03
PTRC_exp10_Plex_02_P_f02_25Feb20_Rage_Rep-20-01-03	Plex_02
PTRC_exp10_Plex_01_P_f02_25Feb20_Rage_Rep-20-01-03	Plex_01
PTRC_exp10_Plex_03_P_f02_25Feb20_Rage_Rep-20-01-03	Plex_03
PTRC_exp10_Plex_07_P_f02_25Feb20_Rage_Rep-20-01-03	Plex_07
PTRC_exp10_Plex_04_P_f02_25Feb20_Rage_Rep-20-01-03	Plex_04
PTRC_exp10_Plex_05_P_f02_25Feb20_Rage_Rep-20-01-03	Plex_05
PTRC_exp10_Plex_06_P_f02_25Feb20_Rage_Rep-20-01-03	Plex_06
PTRC_exp10_Plex_01_P_f03_25Feb20_Rage_Rep-20-01-03	Plex_01
PTRC_exp10_Plex_03_P_f03_25Feb20_Rage_Rep-20-01-03	Plex_03
PTRC_exp10_Plex_05_P_f03_25Feb20_Rage_Rep-20-01-03	Plex_05
PTRC_exp10_Plex_02_P_f03_25Feb20_Rage_Rep-20-01-03	Plex_02
PTRC_exp10_Plex_04_P_f03_25Feb20_Rage_Rep-20-01-03	Plex_04
PTRC_exp10_Plex_07_P_f03_25Feb20_Rage_Rep-20-01-03	Plex_07
PTRC_exp10_Plex_06_P_f03_25Feb20_Rage_Rep-20-01-03	Plex_06
PTRC_exp10_Plex_02_P_f05_25Feb20_Rage_Rep-20-01-03	Plex_02
PTRC_exp10_Plex_01_P_f05_25Feb20_Rage_Rep-20-01-03	Plex_01
PTRC_exp10_Plex_04_P_f05_25Feb20_Rage_Rep-20-01-03	Plex_04
PTRC_exp10_Plex_05_P_f05_25Feb20_Rage_Rep-20-01-03	Plex_05
PTRC_exp10_Plex_03_P_f05_25Feb20_Rage_Rep-20-01-03	Plex_03
PTRC_exp10_Plex_07_P_f05_25Feb20_Rage_Rep-20-01-03	Plex_07
PTRC_exp10_Plex_06_P_f05_25Feb20_Rage_Rep-20-01-03	Plex_06
PTRC_exp10_Plex_05_P_f06_25Feb20_Rage_Rep-20-01-03	Plex_05
PTRC_exp10_Plex_06_P_f06_25Feb20_Rage_Rep-20-01-03	Plex_06
PTRC_exp10_Plex_07_P_f06_25Feb20_Rage_Rep-20-01-03	Plex_07
PTRC_exp10_Plex_03_P_f06_25Feb20_Rage_Rep-20-01-03	Plex_03
PTRC_exp10_Plex_04_P_f06_25Feb20_Rage_Rep-20-01-03	Plex_04
PTRC_exp10_Plex_01_P_f06_25Feb20_Rage_Rep-20-01-03	Plex_01
PTRC_exp10_Plex_02_P_f06_25Feb20_Rage_Rep-20-01-03	Plex_02
PTRC_exp10_Plex_06_P_f04_rr_03Mar20_Rage_Rep-20-01-03	Plex_06
PTRC_exp10_Plex_03_P_f04_rr_03Mar20_Rage_Rep-20-01-03	Plex_03
PTRC_exp10_Plex_02_P_f04_rr_03Mar20_Rage_Rep-20-01-03	Plex_02
PTRC_exp10_Plex_05_P_f04_rr_03Mar20_Rage_Rep-20-01-03	Plex_05
PTRC_exp10_Plex_04_P_f04_rr_03Mar20_Rage_Rep-20-01-03	Plex_04
PTRC_exp10_Plex_01_P_f04_rr_03Mar20_Rage_Rep-20-01-03	Plex_01
PTRC_exp10_Plex_07_P_f04_rr_03Mar20_Rage_Rep-20-01-03	Plex_07
PTRC_exp10_Plex_03_P_f07_25Feb20_Rage_Rep-20-01-03	Plex_03
PTRC_exp10_Plex_06_P_f07_25Feb20_Rage_Rep-20-01-03	Plex_06
PTRC_exp10_Plex_02_P_f07_25Feb20_Rage_Rep-20-01-03	Plex_02
PTRC_exp10_Plex_01_P_f07_25Feb20_Rage_Rep-20-01-03	Plex_01
PTRC_exp10_Plex_07_P_f07_25Feb20_Rage_Rep-20-01-03	Plex_07
PTRC_exp10_Plex_05_P_f07_25Feb20_Rage_Rep-20-01-03	Plex_05
PTRC_exp10_Plex_04_P_f07_25Feb20_Rage_Rep-20-01-03	Plex_04
PTRC_exp10_Plex_04_P_f08_25Feb20_Rage_Rep-20-01-03	Plex_04
PTRC_exp10_Plex_02_P_f08_25Feb20_Rage_Rep-20-01-03	Plex_02
PTRC_exp10_Plex_03_P_f08_25Feb20_Rage_Rep-20-01-03	Plex_03
PTRC_exp10_Plex_05_P_f08_25Feb20_Rage_Rep-20-01-03	Plex_05
PTRC_exp10_Plex_06_P_f08_25Feb20_Rage_Rep-20-01-03	Plex_06
PTRC_exp10_Plex_01_P_f08_25Feb20_Rage_Rep-20-01-03	Plex_01
PTRC_exp10_Plex_07_P_f08_25Feb20_Rage_Rep-20-01-03	Plex_07
PTRC_exp10_Plex_02_P_f09_25Feb20_Rage_Rep-20-01-03	Plex_02
PTRC_exp10_Plex_06_P_f09_25Feb20_Rage_Rep-20-01-03	Plex_06
PTRC_exp10_Plex_05_P_f09_25Feb20_Rage_Rep-20-01-03	Plex_05
PTRC_exp10_Plex_04_P_f09_25Feb20_Rage_Rep-20-01-03	Plex_04
PTRC_exp10_Plex_07_P_f09_25Feb20_Rage_Rep-20-01-03	Plex_07
PTRC_exp10_Plex_01_P_f09_25Feb20_Rage_Rep-20-01-03	Plex_01
PTRC_exp10_Plex_01_P_f10_25Feb20_Rage_Rep-20-01-03	Plex_01
PTRC_exp10_Plex_07_P_f10_25Feb20_Rage_Rep-20-01-03	Plex_07
PTRC_exp10_Plex_03_P_f09_rr_10Mar20_Rage_Rep-20-01-03	Plex_03
PTRC_exp10_Plex_03_P_f10_25Feb20_Rage_Rep-20-01-03	Plex_03
PTRC_exp10_Plex_06_P_f10_25Feb20_Rage_Rep-20-01-03	Plex_06
PTRC_exp10_Plex_04_P_f10_25Feb20_Rage_Rep-20-01-03	Plex_04
PTRC_exp10_Plex_02_P_f10_25Feb20_Rage_Rep-20-01-03	Plex_02
PTRC_exp10_Plex_05_P_f10_25Feb20_Rage_Rep-20-01-03	Plex_05
PTRC_exp10_Plex_01_P_f11_25Feb20_Rage_Rep-20-01-03	Plex_01
PTRC_exp10_Plex_03_P_f11_25Feb20_Rage_Rep-20-01-03	Plex_03
PTRC_exp10_Plex_04_P_f11_25Feb20_Rage_Rep-20-01-03	Plex_04
PTRC_exp10_Plex_02_P_f11_25Feb20_Rage_Rep-20-01-03	Plex_02
PTRC_exp10_Plex_07_P_f11_25Feb20_Rage_Rep-20-01-03	Plex_07
PTRC_exp10_Plex_06_P_f11_25Feb20_Rage_Rep-20-01-03	Plex_06
PTRC_exp10_Plex_05_P_f11_25Feb20_Rage_Rep-20-01-03	Plex_05
PTRC_exp10_Plex_07_P_f12_25Feb20_Rage_Rep-20-01-03	Plex_07
PTRC_exp10_Plex_03_P_f12_25Feb20_Rage_Rep-20-01-03	Plex_03
PTRC_exp10_Plex_05_P_f12_25Feb20_Rage_Rep-20-01-03	Plex_05
PTRC_exp10_Plex_06_P_f12_25Feb20_Rage_Rep-20-01-03	Plex_06
PTRC_exp10_Plex_04_P_f12_25Feb20_Rage_Rep-20-01-03	Plex_04
PTRC_exp10_Plex_01_P_f12_25Feb20_Rage_Rep-20-01-03	Plex_01
PTRC_exp10_Plex_02_P_f12_25Feb20_Rage_Rep-20-01-03	Plex_02
PTRC_exp10_Plex_10_P_f01_12Jul20_Rage_Rep-20-06-16	Plex_10
PTRC_exp10_Plex_12_P_f01_12Jul20_Rage_Rep-20-06-16	Plex_12
PTRC_exp10_Plex_11_P_f01_12Jul20_Rage_Rep-20-06-16	Plex_11
PTRC_exp10_Plex_09_P_f01_12Jul20_Rage_Rep-20-06-16	Plex_09
PTRC_exp10_Plex_14_P_f01_12Jul20_Rage_Rep-20-06-16	Plex_14
PTRC_exp10_Plex_08_P_f01_12Jul20_Rage_Rep-20-06-16	Plex_08
PTRC_exp10_Plex_13_P_f01_12Jul20_Rage_Rep-20-06-16	Plex_13
PTRC_exp10_Plex_11_P_f02_12Jul20_Rage_Rep-20-06-16	Plex_11
PTRC_exp10_Plex_10_P_f02_12Jul20_Rage_Rep-20-06-16	Plex_10
PTRC_exp10_Plex_09_P_f02_12Jul20_Rage_Rep-20-06-16	Plex_09
PTRC_exp10_Plex_13_P_f02_12Jul20_Rage_Rep-20-06-18	Plex_13
PTRC_exp10_Plex_12_P_f02_12Jul20_Rage_Rep-20-06-18	Plex_12
PTRC_exp10_Plex_14_P_f02_12Jul20_Rage_Rep-20-06-18	Plex_14
PTRC_exp10_Plex_08_P_f02_12Jul20_Rage_Rep-20-06-18	Plex_08
PTRC_exp10_Plex_13_P_f03_12Jul20_Rage_Rep-20-06-18	Plex_13
PTRC_exp10_Plex_11_P_f03_12Jul20_Rage_Rep-20-06-18	Plex_11
PTRC_exp10_Plex_12_P_f03_12Jul20_Rage_Rep-20-06-18	Plex_12
PTRC_exp10_Plex_08_P_f03_12Jul20_Rage_Rep-20-06-18	Plex_08
PTRC_exp10_Plex_09_P_f03_12Jul20_Rage_Rep-20-06-18	Plex_09
PTRC_exp10_Plex_10_P_f03_12Jul20_Rage_Rep-20-06-18	Plex_10
PTRC_exp10_Plex_14_P_f03_12Jul20_Rage_Rep-20-06-18	Plex_14
PTRC_exp10_Plex_12_P_f04_12Jul20_Rage_Rep-20-06-18	Plex_12
PTRC_exp10_Plex_13_P_f04_12Jul20_Rage_Rep-20-06-18	Plex_13
PTRC_exp10_Plex_09_P_f04_12Jul20_Rage_Rep-20-06-18	Plex_09
PTRC_exp10_Plex_14_P_f04_12Jul20_Rage_Rep-20-06-18	Plex_14
PTRC_exp10_Plex_08_P_f04_12Jul20_Rage_Rep-20-06-18	Plex_08
PTRC_exp10_Plex_10_P_f04_12Jul20_Rage_Rep-20-06-18	Plex_10
PTRC_exp10_Plex_11_P_f04_12Jul20_Rage_Rep-20-06-18	Plex_11
PTRC_exp10_Plex_11_P_f05_12Jul20_Rage_Rep-20-06-19	Plex_11
PTRC_exp10_Plex_14_P_f05_12Jul20_Rage_Rep-20-06-19	Plex_14
PTRC_exp10_Plex_10_P_f05_12Jul20_Rage_Rep-20-06-19	Plex_10
PTRC_exp10_Plex_09_P_f05_12Jul20_Rage_Rep-20-06-19	Plex_09
PTRC_exp10_Plex_08_P_f05_12Jul20_Rage_Rep-20-06-19	Plex_08
PTRC_exp10_Plex_13_P_f05_12Jul20_Rage_Rep-20-06-19	Plex_13
PTRC_exp10_Plex_12_P_f05_12Jul20_Rage_Rep-20-06-19	Plex_12
PTRC_exp10_Plex_13_P_f06_12Jul20_Rage_Rep-20-06-19	Plex_13
PTRC_exp10_Plex_09_P_f06_12Jul20_Rage_Rep-20-06-19	Plex_09
PTRC_exp10_Plex_08_P_f06_12Jul20_Rage_Rep-20-06-19	Plex_08
PTRC_exp10_Plex_11_P_f06_12Jul20_Rage_Rep-20-06-19	Plex_11
PTRC_exp10_Plex_14_P_f06_12Jul20_Rage_Rep-20-06-19	Plex_14
