,display_label,sample_id,exp_value,source,label
0,2-Methylbutyroylcarnitine,12-00032,573405.9611649998,metabolomics_HILIC,2-Methylbutyroylcarnitine_met_HILIC
1,2-Methylbutyroylcarnitine,11-00503,9255858.47270215,metabolomics_HILIC,2-Methylbutyroylcarnitine_met_HILIC
2,2-Methylbutyroylcarnitine,12-00069,5473427.323164379,metabolomics_HILIC,2-Methylbutyroylcarnitine_met_HILIC
3,2-Methylbutyroylcarnitine,13-00468,5061875.965830039,metabolomics_HILIC,2-Methylbutyroylcarnitine_met_HILIC
4,2-Methylbutyroylcarnitine,18-00103,-305812.87862073025,metabolomics_HILIC,2-Methylbutyroylcarnitine_met_HILIC
5,2-Methylbutyroylcarnitine,12-00123,-372969.1848019101,metabolomics_HILIC,2-Methylbutyroylcarnitine_met_HILIC
6,2-Methylbutyroylcarnitine,18-00101,-327545.83482065983,metabolomics_HILIC,2-Methylbutyroylcarnitine_met_HILIC
7,2-Methylbutyroylcarnitine,12-00127,-1103611.53103737,metabolomics_HILIC,2-Methylbutyroylcarnitine_met_HILIC
8,2-Methylbutyroylcarnitine,12-00145,-1343996.91993357,metabolomics_HILIC,2-Methylbutyroylcarnitine_met_HILIC
9,2-Methylbutyroylcarnitine,12-00154,5967176.567278989,metabolomics_HILIC,2-Methylbutyroylcarnitine_met_HILIC
10,2-Methylbutyroylcarnitine,12-00196,-2044399.767441913,metabolomics_HILIC,2-Methylbutyroylcarnitine_met_HILIC
11,2-Methylbutyroylcarnitine,12-00250,-299774.74116651993,metabolomics_HILIC,2-Methylbutyroylcarnitine_met_HILIC
12,2-Methylbutyroylcarnitine,12-00268,5396435.51489358,metabolomics_HILIC,2-Methylbutyroylcarnitine_met_HILIC
13,2-Methylbutyroylcarnitine,12-00294,5897301.30104221,metabolomics_HILIC,2-Methylbutyroylcarnitine_met_HILIC
14,2-Methylbutyroylcarnitine,18-00149,-2250459.2119460152,metabolomics_HILIC,2-Methylbutyroylcarnitine_met_HILIC
15,2-Methylbutyroylcarnitine,12-00383,2364915.8552174303,metabolomics_HILIC,2-Methylbutyroylcarnitine_met_HILIC
16,2-Methylbutyroylcarnitine,13-00016,-1948591.007678512,metabolomics_HILIC,2-Methylbutyroylcarnitine_met_HILIC
17,2-Methylbutyroylcarnitine,13-00033,1311748.9173101098,metabolomics_HILIC,2-Methylbutyroylcarnitine_met_HILIC
18,2-Methylbutyroylcarnitine,13-00034,-1039426.8308320299,metabolomics_HILIC,2-Methylbutyroylcarnitine_met_HILIC
19,2-Methylbutyroylcarnitine,13-00047,1567.0320888799615,metabolomics_HILIC,2-Methylbutyroylcarnitine_met_HILIC
20,2-Methylbutyroylcarnitine,13-00059,300302.4559916002,metabolomics_HILIC,2-Methylbutyroylcarnitine_met_HILIC
21,2-Methylbutyroylcarnitine,13-00075,-681429.30843375,metabolomics_HILIC,2-Methylbutyroylcarnitine_met_HILIC
22,2-Methylbutyroylcarnitine,13-00077,23653525.14011715,metabolomics_HILIC,2-Methylbutyroylcarnitine_met_HILIC
23,2-Methylbutyroylcarnitine,13-00092,-1866833.35288962,metabolomics_HILIC,2-Methylbutyroylcarnitine_met_HILIC
24,2-Methylbutyroylcarnitine,13-00123,-1438711.91194954,metabolomics_HILIC,2-Methylbutyroylcarnitine_met_HILIC
25,2-Methylbutyroylcarnitine,13-00157,214657.2582791401,metabolomics_HILIC,2-Methylbutyroylcarnitine_met_HILIC
26,2-Methylbutyroylcarnitine,13-00160,4988484.695705131,metabolomics_HILIC,2-Methylbutyroylcarnitine_met_HILIC
27,2-Methylbutyroylcarnitine,13-00186,-808118.84917496,metabolomics_HILIC,2-Methylbutyroylcarnitine_met_HILIC
28,2-Methylbutyroylcarnitine,13-00195,-493186.49203945,metabolomics_HILIC,2-Methylbutyroylcarnitine_met_HILIC
29,2-Methylbutyroylcarnitine,13-00262,974796.6952095102,metabolomics_HILIC,2-Methylbutyroylcarnitine_met_HILIC
30,2-Methylbutyroylcarnitine,13-00331,953743.6532525602,metabolomics_HILIC,2-Methylbutyroylcarnitine_met_HILIC
31,2-Methylbutyroylcarnitine,13-00393,2486632.4295645603,metabolomics_HILIC,2-Methylbutyroylcarnitine_met_HILIC
32,2-Methylbutyroylcarnitine,13-00149,8603342.177710349,metabolomics_HILIC,2-Methylbutyroylcarnitine_met_HILIC
33,2-Methylbutyroylcarnitine,13-00147,369899.83520872006,metabolomics_HILIC,2-Methylbutyroylcarnitine_met_HILIC
34,2-Methylbutyroylcarnitine,13-00450,10459988.24860525,metabolomics_HILIC,2-Methylbutyroylcarnitine_met_HILIC
35,2-Methylbutyroylcarnitine,13-00245,-1595582.73341191,metabolomics_HILIC,2-Methylbutyroylcarnitine_met_HILIC
36,2-Methylbutyroylcarnitine,13-00226,-1436409.77176444,metabolomics_HILIC,2-Methylbutyroylcarnitine_met_HILIC
37,2-Methylbutyroylcarnitine,13-00558,2952066.8080576495,metabolomics_HILIC,2-Methylbutyroylcarnitine_met_HILIC
38,2-Methylbutyroylcarnitine,18-00203,3299189.5916204196,metabolomics_HILIC,2-Methylbutyroylcarnitine_met_HILIC
39,2-Methylbutyroylcarnitine,13-00581,-1867872.063120653,metabolomics_HILIC,2-Methylbutyroylcarnitine_met_HILIC
40,2-Methylbutyroylcarnitine,13-00584,92954.14405055996,metabolomics_HILIC,2-Methylbutyroylcarnitine_met_HILIC
41,2-Methylbutyroylcarnitine,13-00602,-1450449.08473809,metabolomics_HILIC,2-Methylbutyroylcarnitine_met_HILIC
42,2-Methylbutyroylcarnitine,14-00045,-1342810.71101899,metabolomics_HILIC,2-Methylbutyroylcarnitine_met_HILIC
43,2-Methylbutyroylcarnitine,14-00065,4599781.8368028905,metabolomics_HILIC,2-Methylbutyroylcarnitine_met_HILIC
44,2-Methylbutyroylcarnitine,14-00083,5587553.006433429,metabolomics_HILIC,2-Methylbutyroylcarnitine_met_HILIC
45,2-Methylbutyroylcarnitine,14-00092,1973968.0331118195,metabolomics_HILIC,2-Methylbutyroylcarnitine_met_HILIC
46,2-Methylbutyroylcarnitine,14-00126,547455.6981571,metabolomics_HILIC,2-Methylbutyroylcarnitine_met_HILIC
47,2-Methylbutyroylcarnitine,14-00127,3146475.53985606,metabolomics_HILIC,2-Methylbutyroylcarnitine_met_HILIC
48,2-Methylbutyroylcarnitine,14-00272,4649187.348306229,metabolomics_HILIC,2-Methylbutyroylcarnitine_met_HILIC
