,display_label,sample_id,exp_value,source,label
0,5-Oxoproline,12-00032,17466046.213791996,metabolomics_RP,5-Oxoproline_met_RP
1,5-Oxoproline,11-00503,78045139.14900798,metabolomics_RP,5-Oxoproline_met_RP
2,5-Oxoproline,12-00069,-19923196.98315701,metabolomics_RP,5-Oxoproline_met_RP
3,5-Oxoproline,13-00468,8912288.71833101,metabolomics_RP,5-Oxoproline_met_RP
4,5-Oxoproline,18-00103,38004015.97794402,metabolomics_RP,5-Oxoproline_met_RP
5,5-Oxoproline,12-00123,-34258704.05894199,metabolomics_RP,5-Oxoproline_met_RP
6,5-Oxoproline,18-00101,6134368.039532989,metabolomics_RP,5-Oxoproline_met_RP
7,5-Oxoproline,12-00127,108797548.61534297,metabolomics_RP,5-Oxoproline_met_RP
8,5-Oxoproline,12-00145,-21341412.791070014,metabolomics_RP,5-Oxoproline_met_RP
9,5-Oxoproline,12-00154,-23567172.25797099,metabolomics_RP,5-Oxoproline_met_RP
10,5-Oxoproline,12-00196,-52355682.23877001,metabolomics_RP,5-Oxoproline_met_RP
11,5-Oxoproline,12-00250,20673372.684382975,metabolomics_RP,5-Oxoproline_met_RP
12,5-Oxoproline,12-00268,-16413238.401466995,metabolomics_RP,5-Oxoproline_met_RP
13,5-Oxoproline,12-00294,117335088.66809702,metabolomics_RP,5-Oxoproline_met_RP
14,5-Oxoproline,18-00149,-19237920.087839007,metabolomics_RP,5-Oxoproline_met_RP
15,5-Oxoproline,12-00383,123621268.306306,metabolomics_RP,5-Oxoproline_met_RP
16,5-Oxoproline,13-00016,22122021.275476992,metabolomics_RP,5-Oxoproline_met_RP
17,5-Oxoproline,13-00033,-21339470.781432003,metabolomics_RP,5-Oxoproline_met_RP
18,5-Oxoproline,13-00034,95488906.057931,metabolomics_RP,5-Oxoproline_met_RP
19,5-Oxoproline,13-00047,-141832610.58464,metabolomics_RP,5-Oxoproline_met_RP
20,5-Oxoproline,13-00059,32484932.190352976,metabolomics_RP,5-Oxoproline_met_RP
21,5-Oxoproline,13-00075,-60758676.578072995,metabolomics_RP,5-Oxoproline_met_RP
22,5-Oxoproline,13-00077,74803609.39245099,metabolomics_RP,5-Oxoproline_met_RP
23,5-Oxoproline,13-00092,-86642465.514799,metabolomics_RP,5-Oxoproline_met_RP
24,5-Oxoproline,13-00123,-54636326.070719,metabolomics_RP,5-Oxoproline_met_RP
25,5-Oxoproline,13-00157,62261962.64017099,metabolomics_RP,5-Oxoproline_met_RP
26,5-Oxoproline,13-00160,5678096.933925003,metabolomics_RP,5-Oxoproline_met_RP
27,5-Oxoproline,13-00186,-62661201.249266,metabolomics_RP,5-Oxoproline_met_RP
28,5-Oxoproline,13-00195,-54427059.45302001,metabolomics_RP,5-Oxoproline_met_RP
29,5-Oxoproline,13-00262,-20937427.32424301,metabolomics_RP,5-Oxoproline_met_RP
30,5-Oxoproline,13-00331,56166807.77302098,metabolomics_RP,5-Oxoproline_met_RP
31,5-Oxoproline,13-00393,74158059.70274001,metabolomics_RP,5-Oxoproline_met_RP
32,5-Oxoproline,13-00149,14803818.170354992,metabolomics_RP,5-Oxoproline_met_RP
33,5-Oxoproline,13-00147,-90129977.07284099,metabolomics_RP,5-Oxoproline_met_RP
34,5-Oxoproline,13-00450,-10722345.779931992,metabolomics_RP,5-Oxoproline_met_RP
35,5-Oxoproline,13-00245,-13491362.970566988,metabolomics_RP,5-Oxoproline_met_RP
36,5-Oxoproline,13-00226,39128446.24036503,metabolomics_RP,5-Oxoproline_met_RP
37,5-Oxoproline,13-00558,33042484.62183702,metabolomics_RP,5-Oxoproline_met_RP
38,5-Oxoproline,18-00203,162188536.22706097,metabolomics_RP,5-Oxoproline_met_RP
39,5-Oxoproline,13-00581,5156285.977934986,metabolomics_RP,5-Oxoproline_met_RP
40,5-Oxoproline,13-00584,56785168.22889203,metabolomics_RP,5-Oxoproline_met_RP
41,5-Oxoproline,13-00602,-15980027.551968008,metabolomics_RP,5-Oxoproline_met_RP
42,5-Oxoproline,14-00045,-20749576.119955987,metabolomics_RP,5-Oxoproline_met_RP
43,5-Oxoproline,14-00065,91088642.64709002,metabolomics_RP,5-Oxoproline_met_RP
44,5-Oxoproline,14-00083,-11024061.700623006,metabolomics_RP,5-Oxoproline_met_RP
45,5-Oxoproline,14-00092,-35270586.79334101,metabolomics_RP,5-Oxoproline_met_RP
46,5-Oxoproline,14-00126,-11559886.657418996,metabolomics_RP,5-Oxoproline_met_RP
47,5-Oxoproline,14-00127,-57431057.33591199,metabolomics_RP,5-Oxoproline_met_RP
48,5-Oxoproline,14-00272,27411505.662882984,metabolomics_RP,5-Oxoproline_met_RP
49,5-Oxoproline,14-00240,-18764005.325663,metabolomics_RP,5-Oxoproline_met_RP
50,5-Oxoproline,14-00423,-33091418.591798007,metabolomics_RP,5-Oxoproline_met_RP
51,5-Oxoproline,14-00193,66510993.141430974,metabolomics_RP,5-Oxoproline_met_RP
52,5-Oxoproline,14-00270,83665952.52569401,metabolomics_RP,5-Oxoproline_met_RP
53,5-Oxoproline,14-00434,-37913451.89868301,metabolomics_RP,5-Oxoproline_met_RP
54,5-Oxoproline,14-00477,-57767098.44383299,metabolomics_RP,5-Oxoproline_met_RP
55,5-Oxoproline,14-00495,-28328891.62248701,metabolomics_RP,5-Oxoproline_met_RP
56,5-Oxoproline,14-00514,-48026845.988902,metabolomics_RP,5-Oxoproline_met_RP
57,5-Oxoproline,14-00528,-37018042.20834899,metabolomics_RP,5-Oxoproline_met_RP
58,5-Oxoproline,14-00608,30529070.898351014,metabolomics_RP,5-Oxoproline_met_RP
59,5-Oxoproline,14-00613,187640216.37068802,metabolomics_RP,5-Oxoproline_met_RP
60,5-Oxoproline,14-00711,-133643099.559207,metabolomics_RP,5-Oxoproline_met_RP
61,5-Oxoproline,14-00712,47001261.79569298,metabolomics_RP,5-Oxoproline_met_RP
62,5-Oxoproline,15-00043,-6368932.031839013,metabolomics_RP,5-Oxoproline_met_RP
63,5-Oxoproline,15-00051,88528321.789208,metabolomics_RP,5-Oxoproline_met_RP
64,5-Oxoproline,15-00137,-76507249.869757,metabolomics_RP,5-Oxoproline_met_RP
65,5-Oxoproline,15-00302,121218796.97850001,metabolomics_RP,5-Oxoproline_met_RP
66,5-Oxoproline,15-00377,45011265.358244,metabolomics_RP,5-Oxoproline_met_RP
67,5-Oxoproline,13-00615,21777877.997635007,metabolomics_RP,5-Oxoproline_met_RP
68,5-Oxoproline,18-00190,4890990.037851006,metabolomics_RP,5-Oxoproline_met_RP
69,5-Oxoproline,14-00817,25132877.84208697,metabolomics_RP,5-Oxoproline_met_RP
70,5-Oxoproline,15-00276,217344496.868506,metabolomics_RP,5-Oxoproline_met_RP
71,5-Oxoproline,15-00287,35183128.004527986,metabolomics_RP,5-Oxoproline_met_RP
72,5-Oxoproline,18-00218,-100007422.86230901,metabolomics_RP,5-Oxoproline_met_RP
73,5-Oxoproline,15-00482,112196063.86643797,metabolomics_RP,5-Oxoproline_met_RP
74,5-Oxoproline,15-00563,-26807199.778073996,metabolomics_RP,5-Oxoproline_met_RP
75,5-Oxoproline,15-00571,40398719.37417799,metabolomics_RP,5-Oxoproline_met_RP
76,5-Oxoproline,15-00578,-66329387.401461005,metabolomics_RP,5-Oxoproline_met_RP
77,5-Oxoproline,15-00837,0.0,metabolomics_RP,5-Oxoproline_met_RP
78,Acetyl-DL-carnitine,12-00032,-5164019.918415993,metabolomics_RP,Acetyl-DL-carnitine_met_RP
79,Acetyl-DL-carnitine,11-00503,-28993465.793266,metabolomics_RP,Acetyl-DL-carnitine_met_RP
80,Acetyl-DL-carnitine,12-00069,273343094.69852203,metabolomics_RP,Acetyl-DL-carnitine_met_RP
81,Acetyl-DL-carnitine,13-00468,969328719.334832,metabolomics_RP,Acetyl-DL-carnitine_met_RP
82,Acetyl-DL-carnitine,18-00103,210632164.34961402,metabolomics_RP,Acetyl-DL-carnitine_met_RP
83,Acetyl-DL-carnitine,12-00123,-150349571.0287441,metabolomics_RP,Acetyl-DL-carnitine_met_RP
84,Acetyl-DL-carnitine,18-00101,17315234.870177,metabolomics_RP,Acetyl-DL-carnitine_met_RP
85,Acetyl-DL-carnitine,12-00127,62840086.90859401,metabolomics_RP,Acetyl-DL-carnitine_met_RP
86,Acetyl-DL-carnitine,12-00145,-48928365.01559299,metabolomics_RP,Acetyl-DL-carnitine_met_RP
87,Acetyl-DL-carnitine,12-00154,-110755696.3940014,metabolomics_RP,Acetyl-DL-carnitine_met_RP
88,Acetyl-DL-carnitine,12-00196,-25129621.070333987,metabolomics_RP,Acetyl-DL-carnitine_met_RP
89,Acetyl-DL-carnitine,12-00250,63621728.32774603,metabolomics_RP,Acetyl-DL-carnitine_met_RP
90,Acetyl-DL-carnitine,12-00268,14262793.693158,metabolomics_RP,Acetyl-DL-carnitine_met_RP
91,Acetyl-DL-carnitine,12-00294,553560196.095063,metabolomics_RP,Acetyl-DL-carnitine_met_RP
