,display_label,sample_id,exp_value,source,label
0,"Cytidine 2',3'-Cyclic Phosphate",12-00032,0.13297008213614436,metabolomics,"Cytidine 2',3'-Cyclic Phosphate_met_HILIC"
1,"Cytidine 2',3'-Cyclic Phosphate",11-00503,-0.48269029128284935,metabolomics,"Cytidine 2',3'-Cyclic Phosphate_met_HILIC"
2,"Cytidine 2',3'-Cyclic Phosphate",12-00069,-0.3240962653921911,metabolomics,"Cytidine 2',3'-Cyclic Phosphate_met_HILIC"
3,"Cytidine 2',3'-Cyclic Phosphate",13-00468,1.1428187822773526,metabolomics,"Cytidine 2',3'-Cyclic Phosphate_met_HILIC"
4,"Cytidine 2',3'-Cyclic Phosphate",18-00103,-0.19012676038014,metabolomics,"Cytidine 2',3'-Cyclic Phosphate_met_HILIC"
5,"Cytidine 2',3'-Cyclic Phosphate",12-00123,-0.2004151547725289,metabolomics,"Cytidine 2',3'-Cyclic Phosphate_met_HILIC"
6,"Cytidine 2',3'-Cyclic Phosphate",18-00101,-0.6090243338590561,metabolomics,"Cytidine 2',3'-Cyclic Phosphate_met_HILIC"
7,"Cytidine 2',3'-Cyclic Phosphate",12-00127,-0.44592446750821046,metabolomics,"Cytidine 2',3'-Cyclic Phosphate_met_HILIC"
8,"Cytidine 2',3'-Cyclic Phosphate",12-00145,-0.4968591750251912,metabolomics,"Cytidine 2',3'-Cyclic Phosphate_met_HILIC"
9,"Cytidine 2',3'-Cyclic Phosphate",12-00154,-0.09168124256010755,metabolomics,"Cytidine 2',3'-Cyclic Phosphate_met_HILIC"
10,"Cytidine 2',3'-Cyclic Phosphate",12-00196,-0.28535464952702744,metabolomics,"Cytidine 2',3'-Cyclic Phosphate_met_HILIC"
11,"Cytidine 2',3'-Cyclic Phosphate",12-00250,1.889904863866835,metabolomics,"Cytidine 2',3'-Cyclic Phosphate_met_HILIC"
12,"Cytidine 2',3'-Cyclic Phosphate",12-00268,-0.546510202433786,metabolomics,"Cytidine 2',3'-Cyclic Phosphate_met_HILIC"
