,model,feature_names,n_feat,rmse,r2,pearson,spearman,pr,sr,k,drug_name,data_type
0,gbt,ACP1_prot|ACP2_prot|ANXA2_prot|AP3M1_prot|APEX1_prot|ARID4A_prot|ASCC1_prot|ASF1B_prot|ASS1_prot|ATG5_prot|ATG7_prot|ATP7A_prot|BCL7A_prot|BTBD2_prot|CEP131_prot|CNOT11_prot|DDX59_prot|DHRS9_prot|ELL_prot|EML4_prot|ENO2_prot|EXTL2_prot|FADS1_prot|FASTKD1_prot|FYB1_prot|GLO1_prot|GOLGB1_prot|GTF3C4_prot|HELZ_prot|HLA-DPA1_prot|HLA-DQB1_prot|HLA-DRB3_prot|HOXB4_prot|ILF2_prot|IMPA2_prot|ING4_prot|LAT2_prot|LRMDA_prot|MIS12_prot|MORC2_prot|MRPL42_prot|MTG1_prot|MYO18A_prot|NDUFB2_prot|NUDT8_prot|PAFAH2_prot|PDCD5_prot|PHKG2_prot|PIK3R1_prot|PMF1_prot|PPAT_prot|PQBP1_prot|PRSS57_prot|PSMD14_prot|RASSF1_prot|RBM8A_prot|RCN2_prot|RFXANK_prot|RNF114_prot|RPS6KA5_prot|SETX_prot|SPINT2_prot|SPTY2D1_prot|SSFA2_prot|SURF2_prot|TCHP_prot|TDP2_prot|TECR_prot|TMEM160_prot|TPST2_prot|TUFM_prot|TWF1_prot|TXNL4B_prot|USP32_prot|XYLB_prot|YARS2_prot|ZBTB17_prot|ZNF407_prot,78,36.1957000049634,0.14418782988896117,0.51205507760296,0.5499999999999999,0.051011311184082746,0.033655357815007086,0,AT7519,proteomics
0,gbt,AKAP8L_prot|ALAS1_prot|ASCC1_prot|ASF1B_prot|C12orf10_prot|CERS2_prot|ECHDC1_prot|ENTPD1_prot|GINS2_prot|GLUL_prot|HMGCS1_prot|IGHM_prot|IKBKE_prot|ITGA5_prot|LDLRAP1_prot|LENG1_prot|MAPK9_prot|MCL1_prot|MCUR1_prot|MED12_prot|NIFK_prot|PASK_prot|PFKP_prot|PLRG1_prot|PPP5C_prot|PRG3_prot|PRSS57_prot|RCOR3_prot|RDH10_prot|RNF166_prot|S100A4_prot|SAMD4B_prot|SPC25_prot|SPECC1L_prot|SRRT_prot|TMEM160_prot|TRMT11_prot|TYMP_prot|UTP23_prot|WDR59_prot|YARS2_prot|ZBED4_prot|ZC3H10_prot,43,26.88265501364292,0.11485818259355773,0.3870297188420023,0.41785714285714276,0.15410514669832104,0.1211725360218785,1,AT7519,proteomics
0,gbt,BRIX1_prot|CBFA2T3_prot|CEP250_prot|EIF2S1_prot|EIF3C_prot|EXOC5_prot|EXOC7_prot|HAUS3_prot|MDM1_prot|MTG1_prot|NDUFS6_prot|OARD1_prot|RAB3GAP1_prot|RPS11_prot|ZFP90_prot,15,43.678452149006205,0.024028437101294098,0.15689498151324435,0.16085797307934246,0.5765623796624358,0.5668456105662769,2,AT7519,proteomics
0,gbt,ARMC8_prot|DIS3L2_prot|LDHB_prot|SCAF4_prot,4,30.548791536808785,-0.2958123188368533,0.10217745889134018,-0.12137896586123567,0.7281554813991485,0.6793503185246542,3,AT7519,proteomics
0,gbt,ABCF3_prot|ABHD14A-ACY1_prot|ACAD10_prot|ACAD9_prot|ACP1_prot|ACSL3_prot|ACTR6_prot|ADCY7_prot|AGFG2_prot|AGO1_prot|AKAP9_prot|ALDH2_prot|ALG11_prot|ALS2_prot|ANKRD54_prot|ANXA2_prot|AP5S1_prot|AP5Z1_prot|ARG1_prot|ARL6IP5_prot|ASCC1_prot|ASF1B_prot|ATE1_prot|ATG13_prot|ATM_prot|ATP1A1_prot|ATP2B4_prot|BCL7C_prot|BOD1L1_prot|BOLA3_prot|BORCS6_prot|BST1_prot|C12orf57_prot|C17orf80_prot|C4A_prot|C8orf82_prot|CA1_prot|CA2_prot|CAB39_prot|CALR_prot|CAMK1_prot|CAMKMT_prot|CARD11_prot|CARNMT1_prot|CASP8AP2_prot|CCAR2_prot|CD5L_prot|CDK13_prot|CDV3_prot|CEBPE_prot|CERS2_prot|CHCHD2_prot|CHD9_prot|CHKB_prot|CHTOP_prot|CKAP2_prot|CKS2_prot|CLPB_prot|COA5_prot|COL4A3BP_prot|COPA_prot|COPS3_prot|CPSF7_prot|CTNND1_prot|CTSF_prot|CYHR1_prot|DAG1_prot|DAXX_prot|DCTN4_prot|DCTPP1_prot|DDT_prot|DDX28_prot|DDX60_prot|DEFA3_prot|DENND4A_prot|DGKZ_prot|DHCR24_prot|DHFR_prot|DHPS_prot|DHRS4_prot|DIP2A_prot|DIS3L2_prot|DNPH1_prot|DOCK2_prot|DUS2_prot|DUSP3_prot|EHD4_prot|EHHADH_prot|EIF4EBP1_prot|EIPR1_prot|ENDOD1_prot|ERAP1_prot|ERCC8_prot|EXOC1_prot|EXOC5_prot|EXTL2_prot|FAAH_prot|FAH_prot|FAM118B_prot|FAM185A_prot|FAM207A_prot|FAM210A_prot|FAM76B_prot|FARSB_prot|FBXL3_prot|FBXO11_prot|FGFR1OP2_prot|FN3K_prot|FOCAD_prot|FTH1_prot|FTSJ1_prot|FXR1_prot|FYB1_prot|GGACT_prot|GGT1_prot|GIMAP6_prot|GLA_prot|GLO1_prot|GMFG_prot|GMPPB_prot|GNLY_prot|GNPAT_prot|GOLGB1_prot|GRAMD1A_prot|GRAP2_prot|GSE1_prot|GTF2H2C_prot|GTF3C4_prot|GTPBP1_prot|GTPBP6_prot|GZMA_prot|HAGH_prot|HDGFL3_prot|HHEX_prot|HIKESHI_prot|HINT3_prot|HIST1H1E_prot|HIST1H2BJ_prot|HLA-DQB1_prot|HMBS_prot|HMCES_prot|HMG20A_prot|HSP90AB1_prot|HSPA8_prot|IBA57_prot|IDE_prot|IDNK_prot|IFIH1_prot|IGHG2_prot|IGHM_prot|IGHV3-7_prot|IGKV2-28_prot|IMPAD1_prot|INTS10_prot|INTS3_prot|IRAK1_prot|ITFG2_prot|ITIH4_prot|JAK1_prot|JCHAIN_prot|KATNA1_prot|KDM4A_prot|KDM5B_prot|KMT2E_prot|LAIR1_prot|LARS2_prot|LEMD2_prot|LPXN_prot|LSG1_prot|LSM14A_prot|LUC7L2_prot|MAF1_prot|MAN1B1_prot|MAP3K20_prot|MAP4K5_prot|MAPK14_prot|MAPK7_prot|MARCKSL1_prot|MARS2_prot|MBTD1_prot|MCM6_prot|MCRS1_prot|MCUR1_prot|MDN1_prot|MED28_prot|MEN1_prot|METAP2_prot|METTL21A_prot|METTL2B_prot|MINK1_prot|MIS12_prot|MIS18BP1_prot|MKNK1_prot|MLLT6_prot|MMP9_prot|MOB3A_prot|MORC3_prot|MTERF4_prot|MTHFD1_prot|MVD_prot|N4BP1_prot|N4BP2L2_prot|N4BP2_prot|NAA10_prot|NAA38_prot|NAPRT_prot|NAT14_prot|NCAPD3_prot|NCBP3_prot|NCKAP1_prot|NCOA1_prot|NDUFAF7_prot|NDUFB11_prot|NFATC1_prot|NFATC3_prot|NFIX_prot|NFKBIE_prot|NOL9_prot|NSUN2_prot|NTPCR_prot|NUDT9_prot|ORM2_prot|P3H1_prot|PAPSS1_prot|PARVG_prot|PDCL_prot|PDP1_prot|PDRG1_prot|PEX19_prot|PFDN2_prot|PHF20_prot|PHF5A_prot|PHYKPL_prot|PIGT_prot|PIK3R6_prot|PKM_prot|PLRG1_prot|PM20D2_prot|PNPO_prot|POT1_prot|POTEKP_prot|PPP5C_prot|PRDX6_prot|PRKCE_prot|PRMT1_prot|PRNP_prot|PROSER2_prot|PRPF6_prot|PRUNE1_prot|PSMA6_prot|PSMD12_prot|PSMD6_prot|PTPRA_prot|PYCR2_prot|RAB12_prot|RAB4A_prot|RABEP1_prot|RALA_prot|RAP2B_prot|RARS_prot|RASSF1_prot|RBSN_prot|RECQL_prot|RELA_prot|RENBP_prot|RFFL_prot|RGS18_prot|RHBDD2_prot|RIDA_prot|RIN1_prot|RMND5A_prot|RNF146_prot|RNF25_prot|RPS24_prot|RPS27_prot|RPS6KB1_prot|RPS9_prot|RRAGD_prot|RTF1_prot|RUVBL2_prot|SCAMP1_prot|SDCCAG8_prot|SDHAF2_prot|SEC23IP_prot|SEC24B_prot|SELP_prot|SEPT5_prot|SESN1_prot|SETD3_prot|SETDB1_prot|SLC25A51_prot|SLC39A10_prot|SLC43A3_prot|SMC1A_prot|SMG5_prot|SMPDL3B_prot|SND1_prot|SNRPB_prot|SNU13_prot|SORD_prot|SPTLC2_prot|SRRM1_prot|SSBP1_prot|SSH3_prot|STAG2_prot|STRN4_prot|STX18_prot|SUGT1_prot|SUMO2_prot|TACO1_prot|TAF10_prot|TAF9B_prot|TAX1BP1_prot|TBC1D17_prot|TCAF1_prot|TDG_prot|TFB1M_prot|THAP11_prot|THEM4_prot|THTPA_prot|THUMPD3_prot|TIMM29_prot|TM9SF1_prot|TMEM168_prot|TMEM97_prot|TMUB2_prot|TRAF6_prot|TRIP6_prot|TRMT11_prot|TRPM7_prot|TSC1_prot|TSC22D4_prot|TTC38_prot|TTPAL_prot|TUBA4B_prot|TUT1_prot|TWF1_prot|TYMS_prot|UAP1_prot|UBA7_prot|UBE2L3_prot|UBE2N_prot|UBE2R2_prot|UBR7_prot|UQCRQ_prot|USP28_prot|VPS33B_prot|VPS51_prot|VRK3_prot|WDR74_prot|WDTC1_prot|WNK1_prot|ZBTB9_prot|ZCCHC7_prot|ZFAND3_prot|ZFPL1_prot|ZFPM1_prot|ZMAT5_prot|ZNF100_prot|ZNF143_prot|ZNF264_prot|ZNF414_prot|ZNF865_prot|ZNHIT3_prot|ZXDC_prot,365,48.28731548611085,-0.0012401529032730618,0.425734583616717,0.4769230769230769,0.12907852183323384,0.0846484341946868,4,AT7519,proteomics
0,gbt,ACACA_prot|POR_prot|SEC23IP_prot|UPF3B_prot,4,32.256718310838295,-0.015372535335937965,0.12420148049423747,0.05159066735539389,0.6592033251523839,0.8551153045722524,5,AT7519,proteomics
0,gbt,ACAD10_prot|ACP1_prot|ACYP2_prot|AFF4_prot|AGTPBP1_prot|ALAS1_prot|AMOTL1_prot|ANLN_prot|APOBEC3B_prot|APOL2_prot|ARHGAP35_prot|ARID3B_prot|ARID4A_prot|ARPC1A_prot|ASCC1_prot|ASCC3_prot|ASF1B_prot|ATE1_prot|ATP1A1_prot|ATP6V1G1_prot|BCL7B_prot|C1D_prot|C20orf27_prot|CA1_prot|CA8_prot|CAMKMT_prot|CASP7_prot|CCAR2_prot|CCDC97_prot|CCT2_prot|CD109_prot|CD2AP_prot|CD63_prot|CDCA7L_prot|CENPI_prot|CHD6_prot|CIC_prot|CKS2_prot|CMAS_prot|CNOT2_prot|CNTRL_prot|COL4A3BP_prot|COPS8_prot|CTAGE5_prot|CTBP2_prot|CTPS2_prot|CTSL_prot|CXXC5_prot|CXorf56_prot|DBR1_prot|DCAF8_prot|DCAKD_prot|DDX39A_prot|DHX37_prot|DIS3L_prot|DST_prot|DTNBP1_prot|DYNC1LI1_prot|DYNLRB1_prot|EAF1_prot|EARS2_prot|EIF5B_prot|ENPP4_prot|ERO1A_prot|ESS2_prot|FADS1_prot|FASTKD1_prot|FBXL12_prot|FBXO22_prot|FGFR1OP_prot|FKBP7_prot|FNBP1_prot|FRY_prot|FUCA1_prot|GATAD1_prot|GATC_prot|GIGYF2_prot|GLO1_prot|GLUL_prot|GOLGB1_prot|GON7_prot|GOT1_prot|GPR107_prot|GPSM1_prot|GRAP2_prot|GRB10_prot|GRK2_prot|GRSF1_prot|GSE1_prot|GSTCD_prot|GTPBP3_prot|GTSE1_prot|H2AFY_prot|HIRIP3_prot|HIST1H2BJ_prot|HNRNPA3_prot|HOOK2_prot|HS2ST1_prot|HSBP1_prot|HSP90AB1_prot|HSPA9_prot|IBA57_prot|ICAM2_prot|IFIT5_prot|IGHA1_prot|IMPA2_prot|INCENP_prot|INO80_prot|INTS5_prot|IPO7_prot|ITSN1_prot|JAK3_prot|KANK2_prot|KDELC2_prot|KDM6A_prot|KIAA0513_prot|KIF13A_prot|LAIR1_prot|LENG1_prot|LIN37_prot|LSG1_prot|LSM3_prot|MADD_prot|MAN1A1_prot|MAP3K7_prot|MAPKAPK2_prot|MAPRE2_prot|MARC2_prot|MCMBP_prot|MICALL2_prot|MIF4GD_prot|MIS12_prot|MIS18A_prot|MKNK1_prot|MMAA_prot|MRGBP_prot|MSI2_prot|MTRR_prot|MUL1_prot|MX1_prot|MYADM_prot|MYL6B_prot|NANP_prot|NCOA7_prot|NEK9_prot|NFATC3_prot|NFKB2_prot|NIFK_prot|NPTN_prot|NSMAF_prot|NSUN2_prot|NUDT3_prot|NUP85_prot|NUP98_prot|ORC3_prot|P2RX4_prot|P4HA1_prot|PACSIN2_prot|PAK1IP1_prot|PAN3_prot|PCTP_prot|PDRG1_prot|PICALM_prot|PLP2_prot|PLRG1_prot|PMF1_prot|POFUT2_prot|POLK_prot|POLR3D_prot|POR_prot|PPP6R2_prot|PQBP1_prot|PRRC1_prot|PSMA7_prot|PSMG2_prot|PSPC1_prot|PTPRA_prot|PYCR2_prot|R3HDM1_prot|RAB24_prot|RAB3GAP1_prot|RAD23B_prot|RALA_prot|RASAL3_prot|RASSF1_prot|RBL1_prot|RBM8A_prot|RBSN_prot|RCC1_prot|RCOR3_prot|RHOF_prot|RIOK1_prot|RNF181_prot|RP9_prot|RPL23A_prot|RPL30_prot|RPP21_prot|RPP25L_prot|RRP1_prot|RUNX3_prot|SAMD4B_prot|SAP130_prot|SAR1B_prot|SEC23IP_prot|SEPT5_prot|SERINC3_prot|SERPINB6_prot|SIVA1_prot|SKI_prot|SLC1A4_prot|SLU7_prot|SMAP_prot|SMC1A_prot|SNRNP48_prot|SPAG1_prot|SRCAP_prot|SSNA1_prot|STMN1_prot|SUMO2_prot|SWAP70_prot|SYAP1_prot|TAF10_prot|TAF9B_prot|TAGLN2_prot|TAX1BP1_prot|TBC1D4_prot|TBCC_prot|TDRD3_prot|TIA1_prot|TIMM22_prot|TIPRL_prot|TK1_prot|TMCO1_prot|TMEM160_prot|TMEM173_prot|TMEM245_prot|TMOD2_prot|TOMM5_prot|TRADD_prot|TRAF6_prot|TRAFD1_prot|TRAPPC8_prot|TRMT112_prot|TRMT2A_prot|TSC1_prot|TSG101_prot|TSR2_prot|TTC7B_prot|TTF1_prot|TUBB_prot|TXNL4B_prot|UBA3_prot|UBE2L6_prot|UBR7_prot|UNC119B_prot|UQCRQ_prot|USP14_prot|USP28_prot|VAMP3_prot|VCP_prot|VRK1_prot|WASH2P_prot|WDR74_prot|WRAP53_prot|WTAP_prot|XYLB_prot|ZBED4_prot|ZC3H18_prot|ZFAND3_prot|ZNF276_prot|ZNF317_prot|ZNHIT3_prot|ZXDC_prot,273,44.56622672427365,0.23344486928018426,0.5917333764851427,0.4464285714285714,0.020141052078243328,0.09529321315352625,6,AT7519,proteomics
0,gbt,AAGAB_prot|ACAD10_prot|ACP1_prot|ACP2_prot|ACTR6_prot|ACYP1_prot|ADI1_prot|AFF1_prot|AGFG2_prot|AKAP10_prot|AKAP8L_prot|AKAP8_prot|AKAP9_prot|ALG11_prot|AMPD2_prot|ANXA5_prot|AP1AR_prot|AP1S1_prot|AP3M1_prot|APOL2_prot|ARFGEF2_prot|ARL1_prot|ASPH_prot|ASS1_prot|ATP2C1_prot|ATP5F1D_prot|BCAS3_prot|BCKDHA_prot|BIN3_prot|BORCS6_prot|BSDC1_prot|C12orf10_prot|C12orf4_prot|C17orf80_prot|C19orf70_prot|C4BPA_prot|CA8_prot|CAMKMT_prot|CAPRIN1_prot|CARD9_prot|CBFA2T3_prot|CC2D1B_prot|CCAR2_prot|CCDC91_prot|CD5L_prot|CDYL2_prot|CEP131_prot|CES1_prot|CHMP2B_prot|CHPF2_prot|CHST12_prot|CNOT4_prot|COA6_prot|COG2_prot|COPZ1_prot|COX6C_prot|CPNE2_prot|CRK_prot|CSNK2A2_prot|CTIF_prot|DCPS_prot|DCTN1_prot|DCTN2_prot|DDA1_prot|DDB2_prot|DDX20_prot|DDX60_prot|DLD_prot|DNAJA4_prot|DNAJC1_prot|DOCK1_prot|DPYSL2_prot|DR1_prot|DYM_prot|EDC4_prot|EFTUD2_prot|EHD2_prot|ELL_prot|ELP3_prot|EML3_prot|ENDOD1_prot|ENSA_prot|ENTPD1_prot|EXD2_prot|FAM160B2_prot|FAM98A_prot|FARS2_prot|FBXO6_prot|FIG4_prot|FKBP3_prot|FLYWCH2_prot|FMNL1_prot|FOXK1_prot|FUT4_prot|GATAD1_prot|GFER_prot|GGCT_prot|GGT1_prot|GM2A_prot|GMEB2_prot|GMPPB_prot|GMPS_prot|GNPAT_prot|GPS2_prot|GSTP1_prot|GTPBP6_prot|H2AFY2_prot|HACD2_prot|HBB_prot|HELZ_prot|HERC4_prot|HLA-DMA_prot|HLA-DPB1_prot|HLA-DRB3_prot|HOOK2_prot|HSPA9_prot|HYPK_prot|IGF2R_prot|IGHV3-7_prot|IGLL5_prot|IMPACT_prot|INCENP_prot|ING4_prot|INIP_prot|ISOC1_prot|KAT7_prot|KIAA0319L_prot|KLF3_prot|KLHL6_prot|KMT2E_prot|KYAT1_prot|LARS2_prot|LCHN_prot|LSG1_prot|LSM12_prot|MALT1_prot|MAPKAPK2_prot|MEPCE_prot|MGA_prot|MIS12_prot|MRM3_prot|MRPL37_prot|MRPL55_prot|MRPS26_prot|MT-ATP6_prot|MTCH2_prot|MTG1_prot|MYL12B_prot|MYO1G_prot|MZB1_prot|NCAPD3_prot|NCOA6_prot|NCOR1_prot|NDE1_prot|NDUFA1_prot|NFIX_prot|NIT2_prot|NOP56_prot|NSMCE4A_prot|NSUN2_prot|NUBP2_prot|NUBPL_prot|NUDT9_prot|OFD1_prot|ORC4_prot|OSBPL2_prot|PASK_prot|PCTP_prot|PDCD5_prot|PFDN2_prot|PFKP_prot|PIK3R6_prot|PJA2_prot|PLOD3_prot|PMF1_prot|PPIB_prot|PPP5C_prot|PQBP1_prot|PRCC_prot|PRKAB1_prot|PRPF3_prot|PRRC2A_prot|PSMD3_prot|PSMD8_prot|PYCR2_prot|RAB34_prot|RAB3GAP1_prot|RAB5C_prot|RAD21_prot|RALA_prot|RAPGEF2_prot|RASSF1_prot|RBM5_prot|RFC1_prot|RFFL_prot|RGL2_prot|RGS3_prot|RIDA_prot|RNASEH2A_prot|RNF13_prot|RNF14_prot|RNPS1_prot|RPA3_prot|RPAP2_prot|RPL29_prot|RPP14_prot|RPS3A_prot|RPUSD3_prot|RRAS2_prot|SAE1_prot|SAFB_prot|SAMM50_prot|SAP130_prot|SBNO1_prot|SDCCAG8_prot|SDHD_prot|SEC22B_prot|SEC23IP_prot|SEC24B_prot|SETDB1_prot|SETX_prot|SGPL1_prot|SIRT2_prot|SIVA1_prot|SLC39A11_prot|SLX4_prot|SMG1_prot|SMG5_prot|SOCS2_prot|SPNS3_prot|SPN_prot|STK24_prot|STOML2_prot|TAF6L_prot|TBC1D4_prot|TBCA_prot|TCHP_prot|TCIRG1_prot|TFCP2_prot|TFE3_prot|TIMM8A_prot|TJAP1_prot|TMED10_prot|TMEM160_prot|TPRKB_prot|TRIP6_prot|TRMU_prot|TWF1_prot|UBAC2_prot|UBE2G1_prot|UBE2J1_prot|UBE2K_prot|UBR3_prot|UGP2_prot|VBP1_prot|WASHC2C_prot|WDFY4_prot|WDR75_prot|WDR7_prot|XYLB_prot|ZBED4_prot|ZC3H15_prot|ZCCHC7_prot|ZFAND3_prot|ZFP90_prot|ZFYVE1_prot|ZNF649_prot|ZNF655_prot,268,38.646241673488205,0.12810630190402073,0.4651057937496,0.5285714285714286,0.08064377077954932,0.04279728930945035,7,AT7519,proteomics
0,gbt,ABCD1_prot|ACAA1_prot|ACP1_prot|ACP2_prot|ADAM17_prot|ADSL_prot|AGTPBP1_prot|AKAP11_prot|AKT1_prot|AKT2_prot|ALDH3B1_prot|ALG11_prot|ANXA2_prot|AP3M1_prot|ARFIP2_prot|ARG1_prot|ARHGAP4_prot|ARL8B_prot|ARPC5_prot|ASCC1_prot|ASF1B_prot|ATAD3B_prot|ATP23_prot|ATP6V1F_prot|ATP6V1G1_prot|B3GAT3_prot|BABAM1_prot|BCL2_prot|BICRA_prot|BIN3_prot|BNIP2_prot|BORCS6_prot|BPI_prot|BRCC3_prot|BZW1_prot|C19orf25_prot|C3orf38_prot|C3orf58_prot|C4A_prot|C4BPA_prot|CAAP1_prot|CACUL1_prot|CALD1_prot|CAMK2G_prot|CAMKMT_prot|CARD11_prot|CASP8AP2_prot|CBFA2T2_prot|CC2D1B_prot|CCAR2_prot|CCNK_prot|CCNT2_prot|CD47_prot|CD55_prot|CD5L_prot|CDC23_prot|CDK4_prot|CERS2_prot|CFH_prot|CGAS_prot|CHD9_prot|CHMP6_prot|CIB1_prot|CLPB_prot|CMTM6_prot|CNN2_prot|CNOT2_prot|CNOT7_prot|CNTRL_prot|COMMD5_prot|COMMD8_prot|COPZ1_prot|COX19_prot|CTAGE5_prot|CTBS_prot|CTR9_prot|CUTC_prot|CYP20A1_prot|CYTH1_prot|DCAF16_prot|DCP2_prot|DDT_prot|DDX20_prot|DIS3L2_prot|DNAJA4_prot|DNASE2_prot|DPH6_prot|DTNBP1_prot|DTX3L_prot|DUSP23_prot|EEF1AKMT2_prot|EFL1_prot|EHMT1_prot|EIF3F_prot|ELF2_prot|EMC7_prot|ENTPD1_prot|EPC2_prot|ERGIC3_prot|ERLEC1_prot|ERO1B_prot|ETF1_prot|ETNK1_prot|EXOC2_prot|FAM118B_prot|FAM185A_prot|FAM32A_prot|FAM3C_prot|FBXO28_prot|FDX1_prot|FEN1_prot|FLAD1_prot|FMNL1_prot|FN3K_prot|FOCAD_prot|FXR2_prot|GALNS_prot|GALNT1_prot|GATA2_prot|GBF1_prot|GCLC_prot|GDI2_prot|GFER_prot|GGACT_prot|GLO1_prot|GMPPB_prot|GNL1_prot|GNPAT_prot|GNPDA2_prot|GOLGB1_prot|GOPC_prot|GSE1_prot|GSPT2_prot|GSTCD_prot|GSTM2_prot|GTF3C1_prot|GZMA_prot|GZMH_prot|HAUS4_prot|HDHD5_prot|HEBP1_prot|HELZ_prot|HIRA_prot|HOXB4_prot|HSPA6_prot|HSPA8_prot|HUWE1_prot|ICAM3_prot|IDUA_prot|IGHM_prot|IGKV2-28_prot|IGLC2_prot|IGSF8_prot|ILF3_prot|IMPDH2_prot|ING4_prot|INIP_prot|IRAK1_prot|ISOC1_prot|ITGAE_prot|ITGB7_prot|ITPKB_prot|JAK1_prot|KLC4_prot|KLF3_prot|KMT2E_prot|KPNA3_prot|KPNB1_prot|KYAT1_prot|LEMD2_prot|LMNB1_prot|LMO4_prot|LYAR_prot|LYPLAL1_prot|LZTFL1_prot|MAP3K2_prot|MAP3K7_prot|MGST1_prot|MIS12_prot|MKL2_prot|MLLT6_prot|MLX_prot|MORC2_prot|MPC2_prot|MRPL37_prot|MRPL41_prot|MTA3_prot|MVK_prot|MYL6_prot|MYO18A_prot|MYO1G_prot|MZB1_prot|NAA38_prot|NANP_prot|NARFL_prot|NARF_prot|NARS_prot|NAXD_prot|NCKAP5L_prot|NCOA3_prot|NCOA4_prot|NDUFA1_prot|NDUFB3_prot|NDUFB7_prot|NEMF_prot|NFATC3_prot|NFRKB_prot|NFU1_prot|NHEJ1_prot|NKTR_prot|NMD3_prot|NMRAL1_prot|NONO_prot|NSUN2_prot|NTMT1_prot|OAT_prot|ODR4_prot|ORMDL1_prot|OSBPL7_prot|OXR1_prot|PAPOLG_prot|PBDC1_prot|PCBD1_prot|PCMT1_prot|PDCD5_prot|PDK3_prot|PEX3_prot|PF4_prot|PFKFB3_prot|PFKP_prot|PGRMC2_prot|PHC2_prot|PHF20_prot|PNP_prot|POLD2_prot|POLR3H_prot|PON2_prot|POT1_prot|POTEKP_prot|PPIA_prot|PPP1CA_prot|PPP1R21_prot|PPP2R1A_prot|PPP2R5E_prot|PPP4R3A_prot|PPP4R3B_prot|PPP5C_prot|PRKCB_prot|PRPF6_prot|PRPSAP2_prot|PRR12_prot|PRRC2C_prot|PSMC2_prot|PSMD1_prot|PSMD6_prot|PTBP3_prot|PTGR1_prot|PTPRJ_prot|RAB3GAP2_prot|RAB4A_prot|RABGAP1_prot|RAD23B_prot|RALA_prot|RANBP6_prot|RASSF1_prot|RBM8A_prot|RFXAP_prot|RNF213_prot|RNF40_prot|RNMT_prot|RPF1_prot|RPL22L1_prot|RPL26L1_prot|RPL8_prot|RPS21_prot|RPS23_prot|RPS6KA5_prot|RRAGA_prot|RTN4_prot|RUVBL2_prot|S100B_prot|SAFB_prot|SCAMP1_prot|SDCCAG8_prot|SEC24B_prot|SEC31A_prot|SECISBP2L_prot|SEMA4A_prot|SEPT2_prot|SERPINA3_prot|SETX_prot|SF3A2_prot|SF3B6_prot|SH3BGRL3_prot|SIRT1_prot|SLC25A29_prot|SLC25A46_prot|SLFN11_prot|SMARCA5_prot|SMG5_prot|SMG8_prot|SMPD4_prot|SNRNP25_prot|SOD2_prot|SPECC1_prot|SPPL2B_prot|STMN3_prot|SUMO3_prot|SUSD1_prot|TAF10_prot|TAF9B_prot|TAPT1_prot|TARBP1_prot|TBC1D22B_prot|TBCA_prot|TBCEL_prot|TBCE_prot|TBL3_prot|TBPL1_prot|TCAF1_prot|TCEAL1_prot|TECR_prot|TEX30_prot|THOP1_prot|THTPA_prot|TIMM8A_prot|TJAP1_prot|TJP2_prot|TM9SF2_prot|TMCO3_prot|TMEM115_prot|TMEM160_prot|TMEM87A_prot|TMUB2_prot|TOMM22_prot|TOMM5_prot|TOP1_prot|TPST2_prot|TRAF6_prot|TRIM16_prot|TRIM33_prot|TSC1_prot|TSSC4_prot|TTC37_prot|TUFM_prot|UAP1_prot|UBA6_prot|UBA7_prot|UBE2B_prot|UBE2N_prot|UBL4A_prot|UBQLN2_prot|UIMC1_prot|UNC119B_prot|UPRT_prot|UQCRQ_prot|USP34_prot|USP39_prot|VPS26A_prot|VPS50_prot|VPS51_prot|WDR70_prot|ZBED4_prot|ZFAND3_prot|ZFP62_prot|ZNF100_prot|ZNF420_prot|ZNF592_prot|ZNF655_prot|ZNF691_prot|ZNF761_prot|ZNF852_prot,372,23.443258694883223,0.5647195187745032,0.7718975973084548,0.7714285714285714,0.0012189017523748854,0.0012326572868001852,8,AT7519,proteomics
0,gbt,ALDH3A2_prot|RRAGC_prot|WDR45B_prot|ZNF649_prot,4,31.403122124093485,-0.335082766732965,0.22295160518900534,0.13342487699899822,0.4435848697258239,0.64930513424808,9,AT7519,proteomics
