,model,feature_names,n_feat,rmse,r2,pearson,spearman,pr,sr,k,drug_name,data_type
0,gbt,AACS_prot|ABI1_prot|ACP1_prot|ACP2_prot|ACTN2_prot|AFF1_prot|AIMP1_prot|ALDH9A1_prot|ALKBH4_prot|ARF3_prot|ARID4B_prot|ARNT_prot|ASRGL1_prot|ATAD1_prot|ATP13A3_prot|ATP5S_prot|ATP6V1G1_prot|ATPAF2_prot|ATPIF1_prot|BAIAP2_prot|BANF1_prot|BLOC1S5_prot|BMP2K_prot|BORCS6_prot|BORCS7_prot|BRPF1_prot|BST2_prot|C19orf53_prot|C1orf50_prot|C5orf24_prot|C9orf64_prot|C9orf72_prot|CA5B_prot|CAAP1_prot|CALR_prot|CARM1_prot|CAVIN1_prot|CBS_prot|CCDC91_prot|CCNH_prot|CD55_prot|CD81_prot|CDC42BPB_prot|CDK12_prot|CEP97_prot|CHURC1-FNTB_prot|CIR1_prot|COA3_prot|COA7_prot|COMMD1_prot|COX6C_prot|COX7A2L_prot|CRACR2A_prot|CRYL1_prot|CSNK2B_prot|CST3_prot|CSTF2_prot|CTH_prot|CTSD_prot|CYLD_prot|DCAF16_prot|DCPS_prot|DCTN4_prot|DCTN5_prot|DDX20_prot|DEFA3_prot|DHCR7_prot|DNASE2_prot|DOK3_prot|DUSP23_prot|EI24_prot|EIF3J_prot|ELOA_prot|ENG_prot|EPB41_prot|EPS15L1_prot|ERICH1_prot|ERMP1_prot|EXOC1_prot|FAM114A2_prot|FAM117A_prot|FAM118A_prot|FAM168A_prot|FASN_prot|FASTKD5_prot|FBXO42_prot|FCF1_prot|FLNB_prot|FLYWCH2_prot|FN3KRP_prot|FUCA2_prot|FXR1_prot|GBP2_prot|GCC2_prot|GDPD1_prot|GLE1_prot|GORASP1_prot|GRWD1_prot|GSPT2_prot|HDHD3_prot|HIST1H1E_prot|HLCS_prot|HMMR_prot|HSPA5_prot|IFIH1_prot|IPO9_prot|IRF9_prot|JADE3_prot|JPT1_prot|KAT5_prot|KATNAL1_prot|KCTD10_prot|KIAA0391_prot|KRT2_prot|KRT8_prot|L3HYPDH_prot|LCK_prot|LEO1_prot|LPGAT1_prot|LSM3_prot|LYPLA2_prot|LYPLAL1_prot|MAD2L2_prot|MAGT1_prot|MANF_prot|MBNL1_prot|MECR_prot|MED16_prot|MGST2_prot|MICALL1_prot|MIS12_prot|MLLT6_prot|MRPL19_prot|MRPS21_prot|MTCH1_prot|MTIF2_prot|MTMR14_prot|MTPAP_prot|MTSS1_prot|MUL1_prot|MYCBP_prot|MYH9_prot|MZB1_prot|N4BP1_prot|N4BP2L1_prot|NCAPD3_prot|NCBP3_prot|NDUFAF5_prot|NDUFB1_prot|NDUFB2_prot|NDUFB7_prot|NEXN_prot|NFKBIB_prot|NFYC_prot|NHEJ1_prot|NRM_prot|NSUN2_prot|NUCB2_prot|NUDC_prot|OCIAD1_prot|PAF1_prot|PAG1_prot|PCIF1_prot|PCMT1_prot|PDS5A_prot|PFDN6_prot|PFKM_prot|PFKP_prot|PGK2_prot|PGM2_prot|PHKG2_prot|PHYKPL_prot|PIK3CG_prot|PIP4K2C_prot|PISD_prot|PMM2_prot|POFUT2_prot|POLM_prot|POLR1D_prot|POLR2B_prot|PON2_prot|PPIL3_prot|PPP1CA_prot|PRDX5_prot|PRKACB_prot|PRMT7_prot|PSMA5_prot|PSMC2_prot|PSMF1_prot|PSPH_prot|PTER_prot|PTPRA_prot|PYCR3_prot|RAB11B_prot|RAB14_prot|RAB2B_prot|RAB44_prot|RALA_prot|RASSF1_prot|RB1CC1_prot|RBM5_prot|RMND1_prot|RPL26_prot|RPL36A_prot|RPP38_prot|RPS15_prot|RPS17_prot|S100A6_prot|SEPT3_prot|SEPT9_prot|SF3A2_prot|SFXN4_prot|SGPL1_prot|SLC12A2_prot|SLC12A9_prot|SLC25A36_prot|SLC9A3R2_prot|SMARCAL1_prot|SMIM12_prot|SMN1_prot|SMYD5_prot|SNRNP25_prot|SNRNP40_prot|SOD1_prot|SP140L_prot|SPG11_prot|SPICE1_prot|SRI_prot|STAT2_prot|STK3_prot|STRAP_prot|STRIP1_prot|STX17_prot|SUN1_prot|TBC1D17_prot|TBC1D2B_prot|TBPL1_prot|TCEAL1_prot|TCP11L1_prot|TDP2_prot|TFCP2_prot|TFIP11_prot|THNSL1_prot|TLDC1_prot|TMEM41B_prot|TOM1L2_prot|TRAM1_prot|TRIM59_prot|TWF1_prot|TXNL1_prot|UBE2E1_prot|UBE2F_prot|UNC119B_prot|UNC13D_prot|UQCRFS1_prot|USO1_prot|USP39_prot|VAMP7_prot|VPS29_prot|VPS36_prot|WASHC3_prot|WDR74_prot|XRN2_prot|XYLB_prot|ZBTB11_prot|ZBTB9_prot|ZC3H18_prot|ZEB2_prot|ZNF207_prot|ZNF346_prot|ZNF407_prot|ZNF629_prot|ZNF773_prot|ZNHIT2_prot,274,37.01032732229327,0.41128218803598404,0.6545079736229225,0.7142857142857142,0.008107699424870737,0.0027743838176388096,0,Dovitinib (CHIR-258),proteomics
0,gbt,IL3RA_prot|PIP4K2C_prot|SAMM50_prot|TADA1_prot,4,50.527727909735304,-0.12748448353258302,0.26101910901339787,0.018841782836560253,0.3473956493019673,0.9468617223510826,1,Dovitinib (CHIR-258),proteomics
0,gbt,HACD2_prot|MIS12_prot|N4BP2L1_prot|SPATA20_prot,4,41.49081236424078,-0.07639514203859776,0.45207471809928573,0.5875977555439629,0.10461066523549468,0.027127950609083677,2,Dovitinib (CHIR-258),proteomics
0,gbt,ATOX1_prot|CHCHD6_prot|CSTF1_prot|DHX58_prot|FTL_prot|KDM1A_prot|LETM1_prot|MPHOSPH8_prot|MRPL46_prot|N4BP2L1_prot|NUP88_prot|RMND1_prot|SLC25A30_prot|STON2_prot|TOMM22_prot|TRIP12_prot|TRIR_prot|USO1_prot|ZNF652_prot,19,55.049963027105875,0.16938644674491676,0.6183261120987591,0.7260730466229203,0.018422998735507946,0.0032791812820027245,3,Dovitinib (CHIR-258),proteomics
0,gbt,AP2B1_prot|ATP2B4_prot|ATXN7L3B_prot|BOD1L1_prot|BPGM_prot|CAPN2_prot|CCDC6_prot|CCZ1_prot|DXO_prot|ENOSF1_prot|FAM129A_prot|FIS1_prot|HLA-DPB1_prot|HMX3_prot|ITGA5_prot|MGME1_prot|MTOR_prot|N4BP2L1_prot|NDUFA7_prot|NDUFAF1_prot|OSBPL1A_prot|PFKP_prot|PLD4_prot|RALA_prot|TMEM68_prot|UBE2J2_prot|UBE3B_prot|UQCRFS1_prot|UTP15_prot|XPNPEP3_prot|ZNF143_prot|ZRSR2_prot,32,55.20095766708567,-0.07025392779320572,0.05538805162986446,-0.06373626373626373,0.8508266351323902,0.828626422928612,4,Dovitinib (CHIR-258),proteomics
0,gbt,ABI2_prot|ATP6V1A_prot|CD81_prot|CSTF2_prot|DNAJC2_prot|DOT1L_prot|EI24_prot|HMBS_prot|INTS5_prot|LGALS9_prot|MITD1_prot|MRPL46_prot|NDUFB5_prot|NEDD1_prot|NPC2_prot|NUP62_prot|PIK3CD_prot|PSPC1_prot|PTCD3_prot|RAB27A_prot|RALA_prot|RNF25_prot|SLFN5_prot|SPATA20_prot|USO1_prot|VPS41_prot,26,48.72611137168952,0.048686447464750926,0.23213801437419262,0.039285714285714285,0.4051088179630574,0.8894459296739485,5,Dovitinib (CHIR-258),proteomics
0,gbt,ARMT1_prot|CAPZA1_prot|CISD1_prot|EI24_prot|EIF4EBP1_prot|IL3RA_prot|IRF2BP2_prot|KLF13_prot|LAMTOR4_prot|LCK_prot|LEO1_prot|MRPL41_prot|MRPS12_prot|PHF20L1_prot|PIK3R4_prot|PIP4K2A_prot|PSAP_prot|PSMD6_prot|RARA_prot|SACS_prot|TFAP4_prot|TNRC6B_prot|TRAPPC11_prot|TTI1_prot,24,44.60680094184364,-0.07624222904326294,0.25063619857362757,0.24642857142857136,0.3675885333211579,0.37595051597380524,6,Dovitinib (CHIR-258),proteomics
0,gbt,ABHD16A_prot|ACADSB_prot|AK4_prot|ALG2_prot|ANKRD27_prot|ANP32A_prot|AP5Z1_prot|ARFRP1_prot|ARSA_prot|ATG12_prot|BCS1L_prot|BRAP_prot|BRMS1_prot|C9orf72_prot|CCDC91_prot|CCDC94_prot|CCDC9_prot|CD36_prot|CENPH_prot|CHCHD10_prot|CHCHD5_prot|CLIC4_prot|CNOT2_prot|CNOT3_prot|CNOT6L_prot|COA5_prot|COA7_prot|COPS3_prot|CRTAP_prot|CTCF_prot|CUL4B_prot|CUL9_prot|CYB5B_prot|DAB2_prot|DBI_prot|DCTN4_prot|DGAT1_prot|DHX37_prot|DNAJA2_prot|DNAJC2_prot|EI24_prot|EMC7_prot|ENPP4_prot|EPS15_prot|ERGIC3_prot|EXOC5_prot|EXOC8_prot|FAM117A_prot|FLYWCH2_prot|FYTTD1_prot|GALK2_prot|GOLGB1_prot|GSTZ1_prot|GZMA_prot|H2AFV_prot|HACD2_prot|HBB_prot|HGS_prot|HIST1H1E_prot|HK2_prot|HLA-DRB1_prot|HMCES_prot|HSPA1A_prot|IL3RA_prot|ILVBL_prot|INIP_prot|INO80_prot|INTS4_prot|IRAK4_prot|ITGB1_prot|L3HYPDH_prot|LCK_prot|LONP2_prot|LPIN2_prot|LRP1_prot|LY86_prot|MAN1A2_prot|MDP1_prot|METTL18_prot|METTL21A_prot|METTL3_prot|MGST2_prot|MRPL19_prot|MRPL21_prot|MRPL28_prot|MRPS17_prot|MUTYH_prot|N4BP2L1_prot|NAA38_prot|NARF_prot|NASP_prot|NDUFA5_prot|NME3_prot|NSUN2_prot|NUP50_prot|NXT1_prot|OSBPL7_prot|P2RX1_prot|PAG1_prot|PARK7_prot|PBX3_prot|PC_prot|PEX16_prot|PGM1_prot|PIK3R6_prot|PISD_prot|PKM_prot|POLD4_prot|PPP1CA_prot|PRDX5_prot|PRKAB1_prot|PSMG1_prot|PTPRA_prot|PWP1_prot|RAB3D_prot|RALA_prot|RARA_prot|RASGRP2_prot|RASSF1_prot|RNF25_prot|RNPC3_prot|RPL26L1_prot|RPL36A_prot|RPS16_prot|RPS4X_prot|RPS6KA3_prot|RPTOR_prot|SCFD2_prot|SEC24B_prot|SELENOK_prot|SELENOO_prot|SEPSECS_prot|SERPINB2_prot|SF3B6_prot|SFXN4_prot|SIRT6_prot|SLC12A6_prot|SLC9A3R2_prot|SMN1_prot|SPATA20_prot|SRP72_prot|SSNA1_prot|ST6GAL1_prot|SZT2_prot|TAF6_prot|TARBP2_prot|TBC1D5_prot|TBL1X_prot|TEP1_prot|TGFBRAP1_prot|TLE4_prot|TMED9_prot|TMF1_prot|TOMM22_prot|TOMM40_prot|TPST2_prot|TRIM11_prot|TSTA3_prot|TXNL1_prot|UBE2F_prot|UBN2_prot|UBQLN1_prot|UNC119B_prot|USO1_prot|USP36_prot|VPS13C_prot|VPS8_prot|WASHC5_prot|WDR83_prot|YIPF5_prot|ZBTB21_prot|ZCCHC7_prot|ZFYVE27_prot|ZNF184_prot|ZNF852_prot|ZNRF2_prot,176,43.34119363341569,0.3140590878375369,0.6691420210038455,0.6747252747252748,0.008868190859824413,0.008117706397553251,7,Dovitinib (CHIR-258),proteomics
0,gbt,ABCD3_prot|ACADM_prot|ACBD5_prot|AGO2_prot|ALKBH4_prot|AMZ2_prot|ANKRD27_prot|APOBEC3C_prot|APRT_prot|ARHGAP35_prot|ATP5F1A_prot|ATP6V1G1_prot|BORCS6_prot|BPGM_prot|C21orf59_prot|CCDC115_prot|CCNY_prot|CDC45_prot|CEP170_prot|CETN3_prot|CFH_prot|CNOT6L_prot|COX20_prot|DCAF16_prot|DCTPP1_prot|DDX11_prot|DENND3_prot|DHCR7_prot|DOCK11_prot|DYNLRB1_prot|EMC8_prot|ERCC8_prot|ERO1A_prot|EWSR1_prot|EXOC7_prot|EYA3_prot|FAM117A_prot|FAM91A1_prot|FBXO11_prot|FCHSD2_prot|FOCAD_prot|FTH1_prot|GART_prot|GBP5_prot|GNPDA2_prot|GOLGA2_prot|GOLIM4_prot|GPI_prot|GRB2_prot|GTF2A1_prot|GTF2H2C_prot|GZMA_prot|HIST2H2AA3_prot|HLA-A_prot|HMGB3_prot|HMX3_prot|HSD17B8_prot|INPP4A_prot|ITGA5_prot|JAK1_prot|JUND_prot|LAP3_prot|LCK_prot|LEMD2_prot|LEMD3_prot|LSM7_prot|MAD1L1_prot|MAP4_prot|MAP7D1_prot|MED16_prot|MGAT2_prot|MGST2_prot|MIER3_prot|MLLT6_prot|MYCBP2_prot|N4BP2L1_prot|NCAPD3_prot|NEXN_prot|NOP2_prot|NSUN2_prot|NUFIP1_prot|P3H1_prot|PACS2_prot|PAFAH1B1_prot|PAG1_prot|PDCD7_prot|POLG2_prot|PRAF2_prot|PRDX5_prot|PSMD13_prot|RAB11B_prot|RAB34_prot|RABGGTB_prot|RALA_prot|RFC1_prot|RFK_prot|RIOX2_prot|RPL36A_prot|RSL24D1_prot|RSRC1_prot|RTCA_prot|S100A6_prot|SCAMP4_prot|SEC24B_prot|SEL1L_prot|SEPT3_prot|SMYD5_prot|SNX8_prot|SSR3_prot|SYNJ2BP-COX16_prot|TAPBP_prot|TARBP2_prot|TARS_prot|TBPL1_prot|TFIP11_prot|TINF2_prot|TNRC18_prot|TOR1AIP1_prot|TPP2_prot|TRAPPC6B_prot|TRIP12_prot|TWF1_prot|TXNIP_prot|UBFD1_prot|USE1_prot|USO1_prot|VPS36_prot|WASH2P_prot|ZBTB16_prot|ZNF397_prot|ZNF592_prot,131,49.26161142878319,0.23835786604819487,0.5427129521144862,0.6351648351648352,0.044932131196164765,0.01465788132728914,8,Dovitinib (CHIR-258),proteomics
0,gbt,ABCB8_prot|ACTA2_prot|ALCAM_prot|ALG2_prot|ARFGAP2_prot|ATOX1_prot|BANF1_prot|BTBD1_prot|CCT2_prot|CDK11B_prot|CDKN1B_prot|CIAPIN1_prot|CNST_prot|COA7_prot|COMMD1_prot|CPSF7_prot|CREG1_prot|CSTF2T_prot|DCPS_prot|DCTN4_prot|DDX28_prot|DHX58_prot|ERGIC2_prot|ERMP1_prot|FAM118A_prot|FAM129A_prot|FN3KRP_prot|FRYL_prot|GP1BA_prot|GSTZ1_prot|GTF3C2_prot|HDHD3_prot|HLA-A_prot|HMBS_prot|HMX3_prot|INPP5D_prot|ITGB3_prot|KANK2_prot|KLHL36_prot|KRT1_prot|L3MBTL3_prot|LIAS_prot|LMBRD2_prot|LPIN2_prot|LSM3_prot|MAD1L1_prot|MDP1_prot|METTL21A_prot|MPC2_prot|MRPL19_prot|MRPL36_prot|MRPS17_prot|MSI2_prot|N4BP2L1_prot|NDUFAF7_prot|NDUFV1_prot|NEK9_prot|NSD3_prot|NUBP2_prot|OSBPL1A_prot|PAG1_prot|PAN3_prot|PCIF1_prot|PDF_prot|PEX16_prot|PHC3_prot|PIP4K2A_prot|PLSCR3_prot|POFUT2_prot|PPIL3_prot|PRDX2_prot|PSD4_prot|PTMA_prot|PTPRA_prot|RAB11FIP1_prot|RAB7B_prot|RAPGEF6_prot|RARS2_prot|RCC1_prot|RETSAT_prot|RMI1_prot|RPL36A_prot|SEPT9_prot|SIRT6_prot|SLC12A6_prot|SLC17A5_prot|SMARCAD1_prot|SRPK2_prot|SYAP1_prot|TACO1_prot|TAPBP_prot|TBC1D10A_prot|TCP1_prot|TFIP11_prot|TMEM177_prot|TMEM65_prot|TOMM20_prot|TRERF1_prot|TWF1_prot|UAP1L1_prot|UQCRFS1_prot|USP30_prot|VASP_prot|VPS36_prot|ZHX1_prot|ZNF100_prot|ZNHIT6_prot,107,40.83427917322207,0.10507064512554831,0.45285324613991285,0.367032967032967,0.10394022819763697,0.1967388717074885,9,Dovitinib (CHIR-258),proteomics
