,model,feature_names,n_feat,rmse,r2,pearson,spearman,pr,sr,k,drug_name,data_type
0,gbt,AP2S1_prot|FASN_prot|H6PD_prot|ISG20_prot|MSTO1_prot|PSMG4_prot|STIM2_prot|WDR44_prot,8,27.11981866931912,-0.2530922954131958,0.2425646755495628,0.1098145843452658,0.3837193866134293,0.6968364624869967,0,Flavopiridol,proteomics
0,gbt,AARS_prot|ABI3_prot|ACAA1_prot|ACP2_prot|ACTR3_prot|ADRM1_prot|AFF1_prot|AGAP3_prot|AGO2_prot|AGPAT2_prot|AKR7A2_prot|AKT2_prot|ALDH4A1_prot|ALG13_prot|ALKBH4_prot|ALKBH8_prot|AMOTL1_prot|ANAPC10_prot|ANKRD50_prot|AP1M1_prot|AP1S1_prot|APOBR_prot|APOB_prot|ARL2_prot|ARNT_prot|ARPP19_prot|ATG13_prot|ATG2A_prot|ATP2B1_prot|ATP5F1B_prot|ATP5O_prot|ATXN7L3_prot|BAD_prot|BAHD1_prot|BAZ1B_prot|BLOC1S6_prot|BOLA1_prot|BTBD2_prot|BUB3_prot|C12orf4_prot|C17orf80_prot|C1orf174_prot|C3_prot|C4orf33_prot|C9orf64_prot|CA1_prot|CALU_prot|CASP8AP2_prot|CCDC124_prot|CCDC9_prot|CCNY_prot|CCT2_prot|CDC42BPB_prot|CDK11B_prot|CDYL2_prot|CERS5_prot|CHD2_prot|CHTOP_prot|CIAPIN1_prot|CISD3_prot|CLASRP_prot|CLIC2_prot|CLIC4_prot|CLK1_prot|CLPP_prot|CLPX_prot|CMAS_prot|CNOT11_prot|COMMD2_prot|CORO1C_prot|COX17_prot|COX8A_prot|CPVL_prot|CRISP3_prot|CST3_prot|CTDSP1_prot|CTH_prot|CUL1_prot|CWF19L2_prot|DAD1_prot|DCAF11_prot|DCP2_prot|DDX19A_prot|DDX55_prot|DEFA3_prot|DENND4B_prot|DENND4C_prot|DHRS9_prot|DHTKD1_prot|DIS3L2_prot|DLGAP5_prot|DMXL2_prot|DNAJB14_prot|DNAJB6_prot|DPY19L1_prot|DR1_prot|DTD1_prot|DTNBP1_prot|DYNC1H1_prot|DYNLRB1_prot|ECM1_prot|EEF1E1_prot|EEFSEC_prot|EIF2AK4_prot|EMC8_prot|ENG_prot|ENOSF1_prot|EPB41L2_prot|ERC1_prot|ERCC4_prot|ERGIC3_prot|ERICH1_prot|EVL_prot|EXOC3_prot|EXOSC2_prot|FAM185A_prot|FAM193A_prot|FBXL12_prot|FBXO42_prot|FIG4_prot|FNBP1L_prot|FOXO3_prot|FSD1L_prot|FTH1_prot|FUNDC1_prot|GAPT_prot|GATAD1_prot|GDPD1_prot|GGT1_prot|GIGYF2_prot|GLCE_prot|GLIPR1_prot|GMPR_prot|GSS_prot|GTPBP2_prot|GTSE1_prot|GTSF1_prot|H1F0_prot|HADHB_prot|HADH_prot|HARS_prot|HAUS3_prot|HCFC2_prot|HDAC7_prot|HDDC3_prot|HGH1_prot|HLA-A_prot|HLA-C_prot|HMGN5_prot|HMGXB4_prot|HNRNPAB_prot|HSPA1A_prot|ICAM2_prot|IDNK_prot|IGF2BP2_prot|IGHMBP2_prot|IGSF8_prot|INO80_prot|IP6K1_prot|IRAK4_prot|IRGQ_prot|ISG20_prot|ITGAE_prot|ITGB1_prot|IVNS1ABP_prot|JAK3_prot|JMJD1C_prot|JMJD6_prot|KAT14_prot|KATNB1_prot|KCTD15_prot|KIAA0319L_prot|KIAA2013_prot|KLHL11_prot|KNG1_prot|KRT1_prot|KRT2_prot|KYAT1_prot|L3MBTL3_prot|LAMP1_prot|LAMP2_prot|LCMT1_prot|LENG1_prot|LGALS3_prot|LHPP_prot|LRMP_prot|LRRFIP1_prot|LSM14B_prot|LY75_prot|LYAR_prot|MAIP1_prot|MANBA_prot|MAP2K2_prot|MAT2A_prot|MED18_prot|MED22_prot|MFN1_prot|MINK1_prot|MIOS_prot|MLXIP_prot|MRPL51_prot|MT-ATP6_prot|MTDH_prot|MTERF3_prot|N4BP1_prot|N6AMT1_prot|NAA50_prot|NDEL1_prot|NDUFA1_prot|NDUFA9_prot|NDUFAF7_prot|NDUFS4_prot|NEDD4L_prot|NEK1_prot|NME4_prot|NRM_prot|NT5DC1_prot|NUCB1_prot|NUDCD2_prot|NUDT14_prot|NUP133_prot|NUP188_prot|NUP35_prot|OCRL_prot|OGFOD3_prot|OGT_prot|OSBPL2_prot|OTULIN_prot|PARVB_prot|PASK_prot|PAXBP1_prot|PDCD10_prot|PDE7A_prot|PDF_prot|PDIA5_prot|PDLIM7_prot|PEPD_prot|PFKFB3_prot|PHF21A_prot|PIK3CA_prot|PJA2_prot|POLR2I_prot|POM121C_prot|PREX1_prot|PRKCSH_prot|PRMT2_prot|PRPSAP2_prot|PRRC1_prot|PSMG1_prot|PTBP2_prot|PTCD3_prot|PTER_prot|PTPN1_prot|PUS7L_prot|PWWP2B_prot|R3HDM1_prot|RAB10_prot|RAB8B_prot|RALGAPA1_prot|RAP1A_prot|RASA3_prot|RASSF1_prot|RB1_prot|RBM34_prot|RCL1_prot|REPIN1_prot|RGL2_prot|RICTOR_prot|RIOX2_prot|RIPK1_prot|RMC1_prot|RMND5A_prot|RNF139_prot|RPE_prot|RPL14_prot|RPL18_prot|RPL24_prot|RPL31_prot|RPL36A_prot|RPP25_prot|RPS15_prot|RPS26_prot|RPS27L_prot|RPS28_prot|RRM2_prot|RXRA_prot|RYDEN_prot|SAFB2_prot|SAMD4B_prot|SAMM50_prot|SCAMP2_prot|SCPEP1_prot|SEC14L1_prot|SEPHS2_prot|SGTB_prot|SHPK_prot|SLC12A2_prot|SLC12A6_prot|SLC12A7_prot|SLC25A15_prot|SLC25A51_prot|SLC33A1_prot|SLU7_prot|SMAD3_prot|SMG9_prot|SMUG1_prot|SNUPN_prot|SNX27_prot|SNX30_prot|SOAT1_prot|SOD1_prot|SORL1_prot|SP110_prot|SPPL2A_prot|SREK1_prot|SRFBP1_prot|SRP19_prot|SRP54_prot|SSFA2_prot|SSH3_prot|SSU72_prot|ST3GAL1_prot|STAMBP_prot|STX12_prot|SUCLG2_prot|SUPT20H_prot|TACC3_prot|TAF3_prot|TAF4_prot|TAX1BP3_prot|TBL3_prot|TCAF1_prot|TCF25_prot|TCP1_prot|TFR2_prot|TMCO6_prot|TMEM189-UBE2V1_prot|TMEM63A_prot|TNPO2_prot|TOMM20_prot|TOMM34_prot|TPM4_prot|TRAF3IP1_prot|TRAPPC9_prot|TRIM4_prot|TRMU_prot|TSC2_prot|TSEN34_prot|TSG101_prot|TSSC4_prot|TTC38_prot|TUBA4B_prot|TUBGCP3_prot|TXNL1_prot|UBA1_prot|UBA6_prot|UBE2G1_prot|UBE2G2_prot|UCHL3_prot|UQCRH_prot|USP28_prot|VPS50_prot|WDR24_prot|WDR44_prot|WDR82_prot|YARS_prot|ZAP70_prot|ZBED1_prot|ZBTB44_prot|ZC3H14_prot|ZC3H18_prot|ZCCHC10_prot|ZCCHC3_prot|ZFAND3_prot|ZFP64_prot|ZFP90_prot|ZGPAT_prot|ZNF100_prot|ZNF362_prot|ZNF592_prot|ZNF598_prot|ZNF639_prot,382,41.41285063076948,0.1143222469299878,0.3396929804540177,0.3892857142857142,0.2154428527148708,0.1515119367903938,1,Flavopiridol,proteomics
0,gbt,AAGAB_prot|ACD_prot|ACP2_prot|ACTR5_prot|ACTR8_prot|ADAT1_prot|AGPS_prot|AK6_prot|AKAP7_prot|AKT1S1_prot|AMOTL1_prot|ANAPC10_prot|ANKS1A_prot|APOBEC3F_prot|APOL2_prot|APPL2_prot|ARFGAP2_prot|ARGLU1_prot|ATP1B1_prot|BCL2L13_prot|C2CD2L_prot|C3_prot|C4orf3_prot|C5orf22_prot|CA2_prot|CA8_prot|CARM1_prot|CASP8AP2_prot|CCDC127_prot|CCNT1_prot|CD177_prot|CD300LF_prot|CDC73_prot|CDKN2AIP_prot|CEPT1_prot|CINP_prot|CKAP5_prot|COG2_prot|COPS2_prot|COPS6_prot|CPSF1_prot|CRISP3_prot|CUL3_prot|CUL9_prot|DAP_prot|DAZAP2_prot|DENND4B_prot|DFFA_prot|DNAJB14_prot|DNAJB6_prot|DNAJC2_prot|DOCK1_prot|DPP3_prot|DSTN_prot|DYNLRB1_prot|ECHDC1_prot|EDEM3_prot|EEF1E1_prot|EIF4E2_prot|EIF4G2_prot|ELOVL1_prot|ENG_prot|ENPP4_prot|ENY2_prot|EPB42_prot|EPS15L1_prot|ERCC4_prot|ETFA_prot|EXOC1_prot|EXOC3_prot|EXOSC1_prot|FARS2_prot|FCHSD1_prot|FGFR1OP2_prot|FGFR1OP_prot|FN3K_prot|FNBP1L_prot|GALK2_prot|GATAD1_prot|GEMIN4_prot|GFPT1_prot|GINS4_prot|GLB1_prot|GLIPR1_prot|GNAS_prot|GNL2_prot|GNPAT_prot|GNPTAB_prot|GOSR1_prot|GSDMD_prot|GSR_prot|GSTCD_prot|GTSE1_prot|GUSB_prot|GZMK_prot|HDHD2_prot|HECTD4_prot|HEMGN_prot|HMGCS1_prot|HMGN2_prot|IGKV3-20_prot|INPP4A_prot|INTS6_prot|ISCU_prot|ISPD_prot|ITFG2_prot|ITGB1_prot|JARID2_prot|JPT1_prot|KANK2_prot|KAT14_prot|KCTD10_prot|KIDINS220_prot|KIF14_prot|KLHL6_prot|KRT2_prot|KRT8_prot|LAIR1_prot|LRMP_prot|LRRFIP1_prot|LSM14B_prot|LSM8_prot|MANBA_prot|MAT2A_prot|MCTS1_prot|MECP2_prot|MED22_prot|MGST2_prot|MIB1_prot|MKRN2_prot|MLEC_prot|MMAA_prot|MPC1_prot|MRPL50_prot|MRPS14_prot|MSTO1_prot|NBDY_prot|NCALD_prot|NDUFAF7_prot|NDUFB5_prot|NEDD4L_prot|NEXN_prot|NFKB2_prot|NFYC_prot|NMNAT1_prot|NRDE2_prot|NSMCE4A_prot|NUP43_prot|OAT_prot|OBSL1_prot|OGFOD3_prot|OPA3_prot|ORC4_prot|PARK7_prot|PDCD5_prot|PDE12_prot|PDLIM2_prot|PIK3CA_prot|PITPNA_prot|PLBD2_prot|PLCG2_prot|PLEKHF2_prot|POLA2_prot|POLI_prot|POLK_prot|POP1_prot|PPIP5K2_prot|PREX1_prot|PSMC4_prot|PSMC6_prot|PTER_prot|PUS7L_prot|RAB11FIP1_prot|RAB9A_prot|RABGAP1L_prot|RAD18_prot|RAPGEF2_prot|RASGRP2_prot|RBM4B_prot|RCSD1_prot|RFXANK_prot|RIOK3_prot|RMND1_prot|RNF169_prot|RPAP2_prot|RPS26_prot|RPS29_prot|RPS6KA1_prot|RRAS_prot|RWDD2B_prot|SAMD9_prot|SAP130_prot|SCAMP1_prot|SCAMP4_prot|SCCPDH_prot|SCPEP1_prot|SDCCAG8_prot|SEC23B_prot|SEC31A_prot|SELENOS_prot|SELPLG_prot|SEPT2_prot|SIDT2_prot|SLC25A12_prot|SMAP1_prot|SMYD2_prot|SOAT1_prot|SP3_prot|SPARC_prot|SRP54_prot|SRSF9_prot|SSBP2_prot|SSR2_prot|STMN2_prot|STT3B_prot|SUPT20H_prot|TAF9B_prot|TARBP1_prot|TBC1D1_prot|TBCEL_prot|TIA1_prot|TK1_prot|TMCO6_prot|TMEM245_prot|TMPO_prot|TNKS1BP1_prot|TOR1A_prot|TPI1_prot|TPRG1L_prot|TRAPPC2_prot|TRIM27_prot|TRIM4_prot|TRIT1_prot|TRMT1_prot|TTC38_prot|TUBA4A_prot|TUBGCP3_prot|TXNRD1_prot|UBE2H_prot|UBE2R2_prot|UBE3A_prot|UCHL3_prot|UPF1_prot|URM1_prot|USP25_prot|USP28_prot|USP40_prot|WDR44_prot|WDR91_prot|XYLB_prot|YTHDF3_prot|ZAP70_prot|ZCCHC10_prot|ZCCHC3_prot|ZFP64_prot|ZGPAT_prot|ZNF100_prot|ZNF136_prot|ZNF318_prot|ZNF410_prot|ZNF460_prot|ZNF649_prot,262,54.886877261820935,0.1030956122807159,0.456762385777248,0.4214285714285714,0.0869742327936929,0.1176993958554164,2,Flavopiridol,proteomics
0,gbt,AFF1_prot|AKR1B1_prot|ARHGAP35_prot|C6orf203_prot|COMMD2_prot|DENND4B_prot|FCGR2A_prot|HIST2H3PS2_prot|MARK3_prot|MSTO1_prot|PIK3R6_prot|RPL35A_prot|SH3TC1_prot|STAT1_prot|TAB1_prot|TSG101_prot|USP22_prot|ZCCHC3_prot|ZFP64_prot|ZNF574_prot,20,58.52017430765092,0.0892044842027277,0.4237157198473882,0.4021978021978022,0.1310998338472025,0.1539744295414035,3,Flavopiridol,proteomics
0,gbt,ABRAXAS1_prot|ACYP2_prot|CAPN7_prot|FAM185A_prot|MKLN1_prot|PRKCB_prot|PSMG1_prot|SOAT1_prot,8,55.83471620194542,0.0413016672684719,0.2606293895810461,0.0665959973012757,0.3681401051863323,0.8210480435433604,4,Flavopiridol,proteomics
0,gbt,CLIC2_prot|FGB_prot|PRMT7_prot|ZFP64_prot,4,37.32559232654341,-0.0599421482790496,-0.1810934244800265,-0.1496962377130239,0.5183443437165277,0.5943867837486732,5,Flavopiridol,proteomics
0,gbt,ACSL5_prot|ARFGEF2_prot|C5orf51_prot|CEP120_prot|CMAS_prot|DIS3L_prot|EIF4EBP2_prot|HARS_prot|HIBADH_prot|ITGB1_prot|LYAR_prot|MAP7_prot|MRPS18C_prot|NEK1_prot|PPP2R1B_prot|PSME3_prot|PTK2_prot|RCC2_prot|RIOK3_prot|SEC31A_prot|SMAD2_prot|SYVN1_prot|TARS_prot|TBC1D7_prot|USP28_prot|ZBTB8OS_prot|ZFP64_prot|ZFYVE21_prot,28,40.4717439198337,-0.1383311790948389,0.6667177664801331,0.5214285714285714,0.0066357554474844,0.046219234478573,6,Flavopiridol,proteomics
0,gbt,ATP2B4_prot|EIF2S1_prot|OGFOD3_prot|TMSB4X_prot,4,54.45606793163192,0.0520180852224807,0.5257745637503493,0.4845979961482838,0.0441140070366389,0.0671462710962295,7,Flavopiridol,proteomics
0,gbt,ALG6_prot|ANKRD27_prot|APOE_prot|ATP7A_prot|ATRN_prot|BRD1_prot|CAMKK2_prot|CCDC59_prot|CCDC94_prot|CDKN2AIP_prot|COMMD10_prot|CRACR2A_prot|DAD1_prot|DCTN5_prot|DDI2_prot|DDX3X_prot|EMC8_prot|ERCC4_prot|GRAP2_prot|HECTD4_prot|HSD17B10_prot|IFT122_prot|IGKV2-28_prot|IGKV4-1_prot|INO80_prot|IQGAP3_prot|KCTD10_prot|KRT8_prot|LENG8_prot|LYAR_prot|MAPK12_prot|MDM1_prot|MSRB3_prot|MSTO1_prot|NBAS_prot|NEK1_prot|NME6_prot|NRBF2_prot|NRDE2_prot|NUP214_prot|NUP43_prot|PDK3_prot|PLA2G4A_prot|PNKP_prot|PON2_prot|PRKCQ_prot|PSME3_prot|RAB4B_prot|RBL2_prot|RFK_prot|RNF139_prot|SBDS_prot|SCPEP1_prot|SH3BP1_prot|SHCBP1_prot|SPATA5_prot|SRP19_prot|SSBP1_prot|STIP1_prot|STT3B_prot|TAF3_prot|THTPA_prot|TMEM177_prot|TST_prot|WDR24_prot|WDR44_prot|ZC3H15_prot|ZCCHC10_prot,68,48.9677337396097,-0.0462887415463308,0.327081464797345,0.2747252747252747,0.2536717993077436,0.3418297437194812,8,Flavopiridol,proteomics
0,gbt,ALG6_prot|CIC_prot|FNDC3A_prot|MSN_prot,4,63.83147001203085,0.0006964088925496,0.0927210978012609,0.0565402794192175,0.7525606947335474,0.8477560603289226,9,Flavopiridol,proteomics
