,model,feature_names,n_feat,rmse,r2,pearson,spearman,pr,sr,k,drug_name,data_type
0,gbt,ADGRE2_prot|AMOTL1_prot|ANPEP_prot|ANXA4_prot|ANXA6_prot|AP1S1_prot|APOH_prot|ARHGAP12_prot|ATP11C_prot|BORCS7_prot|C7orf50_prot|CCDC86_prot|CCSAP_prot|CD36_prot|CNBP_prot|CNOT3_prot|COPS4_prot|CTH_prot|DDB2_prot|DHRS1_prot|DHX35_prot|DNAJA2_prot|DPF2_prot|DYNLL2_prot|ECI2_prot|EMILIN2_prot|ERAP2_prot|ERCC6_prot|EYA3_prot|GABPA_prot|GGPS1_prot|GK_prot|GLA_prot|GTF3C1_prot|HBD_prot|HDHD5_prot|HIST2H3PS2_prot|HNRNPUL1_prot|HSD17B11_prot|IQSEC1_prot|LAT2_prot|LCMT1_prot|LRRC42_prot|LRRFIP1_prot|LXN_prot|MAP4_prot|MCRIP1_prot|MED25_prot|MKLN1_prot|MMS22L_prot|MRC2_prot|MTSS1_prot|MYCBP2_prot|MYLK_prot|MZT2B_prot|NCALD_prot|NDUFA12_prot|ODF2_prot|OTUB1_prot|PAPD5_prot|PSMC6_prot|RAB3C_prot|RAP1GDS1_prot|RCC2_prot|RPP25L_prot|RRP9_prot|SEC16A_prot|SELENOO_prot|SHCBP1_prot|SLBP_prot|STK17B_prot|STRAP_prot|TARS_prot|TBC1D15_prot|THG1L_prot|TMEM120A_prot|TMEM245_prot|TMEM68_prot|TRADD_prot|TRAPPC9_prot|UBE2G2_prot|UBR3_prot|VWF_prot|YY1AP1_prot|ZBTB24_prot,85,57.17782944014045,0.032034601626494186,0.38265421988423765,0.4428571428571427,0.1592187406762684,0.0982940655468714,0,Foretinib (XL880),proteomics
0,gbt,ARHGAP27_prot|CD36_prot|PMS2_prot|TRAPPC12_prot,4,41.57305369565806,-0.03176138218501867,-0.009248127688168226,0.07268945823537178,0.9739052090628146,0.7968381173099218,1,Foretinib (XL880),proteomics
0,gbt,ACAD10_prot|ACTR3B_prot|ACTR5_prot|ADH5_prot|AFTPH_prot|AHSA1_prot|AKAP7_prot|ALDH1L2_prot|ANXA7_prot|AP1AR_prot|AP1S2_prot|AP2B1_prot|APLF_prot|ARFGAP2_prot|ARFGEF1_prot|ARID1B_prot|ARL15_prot|ATOX1_prot|ATP23_prot|ATP5J_prot|ATPIF1_prot|ATXN7L3B_prot|BAG1_prot|BCL2_prot|BDH2_prot|BICRA_prot|BLOC1S3_prot|BMP2K_prot|C12orf57_prot|C16orf70_prot|C8orf59_prot|CAMKMT_prot|CAPRIN1_prot|CCT2_prot|CD37_prot|CD48_prot|CD93_prot|CDC40_prot|CDK5RAP2_prot|CENPI_prot|CENPT_prot|CEP85_prot|CGGBP1_prot|CHMP2B_prot|CIC_prot|CLCC1_prot|CLCN3_prot|CLIC4_prot|CLN5_prot|CLU_prot|CNN2_prot|CNOT1_prot|CNP_prot|CNTRL_prot|COA1_prot|COMMD7_prot|COX20_prot|CSRP1_prot|CSRP3_prot|CUL1_prot|CWC25_prot|CWF19L2_prot|DCXR_prot|DDX19B_prot|DENR_prot|DGAT1_prot|DGCR8_prot|DNAJC17_prot|DNM1_prot|DRAP1_prot|DST_prot|DYNC1I2_prot|DYNC1LI1_prot|DYNLL2_prot|DYNLRB1_prot|EEF1E1_prot|EEF2_prot|EIF6_prot|EMD_prot|ENO2_prot|EPB41L3_prot|ETNK1_prot|EXOC1_prot|FAM129B_prot|FAM193A_prot|FAM3C_prot|FASTKD5_prot|FBXL18_prot|FDX1_prot|FHL3_prot|GADD45GIP1_prot|GBA_prot|GCC2_prot|GIGYF1_prot|GLA_prot|GLUD1_prot|GMEB2_prot|GNAI1_prot|GOLGA3_prot|GOLGB1_prot|GON7_prot|GP9_prot|GPAT3_prot|GPD2_prot|GPT2_prot|GRHPR_prot|GTSF1_prot|GUSB_prot|HACL1_prot|HAUS1_prot|HAX1_prot|HERC2_prot|HERC3_prot|HLA-DQB1_prot|HMOX2_prot|HMX3_prot|HSP90B1_prot|HUS1_prot|IGHA1_prot|INCENP_prot|INF2_prot|IPO13_prot|IRAK1_prot|ISG20L2_prot|ITGAL_prot|ITGAM_prot|ITGB1_prot|JCHAIN_prot|JTB_prot|KATNAL1_prot|KDSR_prot|LAMTOR4_prot|LANCL2_prot|LAP3_prot|LCMT1_prot|LDHA_prot|LGALS9B_prot|LGALS9_prot|LIG4_prot|LIMD2_prot|LRRC20_prot|LSG1_prot|MAIP1_prot|MANF_prot|MAP1B_prot|MAP3K7_prot|MARF1_prot|MBTD1_prot|MCM3_prot|MCRIP1_prot|ME2_prot|MEMO1_prot|MGST1_prot|MP68_prot|MPP7_prot|MRPL20_prot|MTRF1L_prot|MYCBP2_prot|MYDGF_prot|MYO5C_prot|MZT2B_prot|NAA38_prot|NARS_prot|NDUFC1_prot|NECTIN2_prot|NFRKB_prot|NGLY1_prot|NIN_prot|NME4_prot|NOSIP_prot|OLA1_prot|OPTN_prot|PAFAH1B3_prot|PAG1_prot|PARP10_prot|PARP12_prot|PARVG_prot|PAXBP1_prot|PBDC1_prot|PCF11_prot|PDCD4_prot|PDIA5_prot|PDPK1_prot|PDXP_prot|PEX3_prot|PFKFB4_prot|PHPT1_prot|PIGG_prot|PIP4K2C_prot|PIP5K1A_prot|PLA2G4A_prot|PLEKHA2_prot|PNPO_prot|POFUT2_prot|POLR2A_prot|POLR2B_prot|PPFIA1_prot|PPM1H_prot|PRDM15_prot|PRDX4_prot|PRKAR2B_prot|PRMT9_prot|PRPF19_prot|PSMB8_prot|PTTG1IP_prot|PUS7_prot|PWP1_prot|PYCR3_prot|QSOX2_prot|RAB11FIP1_prot|RAB3A_prot|RAB7B_prot|RANBP9_prot|RAP1GAP2_prot|RCCD1_prot|RCSD1_prot|RDH14_prot|RFXANK_prot|RHBDF2_prot|RPL26_prot|RPL37_prot|RRBP1_prot|RWDD2B_prot|SAP30BP_prot|SCRN3_prot|SDCCAG8_prot|SELENOS_prot|SENP7_prot|SEPT7_prot|SERPINA1_prot|SERPINB6_prot|SIAH1_prot|SIGLEC10_prot|SLC30A6_prot|SLC9A7_prot|SMAD2_prot|SMIM24_prot|SMPDL3B_prot|SNRNP27_prot|SOD1_prot|SPTAN1_prot|SRM_prot|SRSF1_prot|STIM2_prot|STK35_prot|STK3_prot|STON2_prot|STX5_prot|STXBP3_prot|SULT1A3_prot|TAF2_prot|TAPBPL_prot|TBC1D7_prot|TBXAS1_prot|TGFB1_prot|THUMPD3_prot|TIMELESS_prot|TMF1_prot|TMX2_prot|TMX4_prot|TRIO_prot|TRIP4_prot|TRPM7_prot|TTI1_prot|TUBA1C_prot|TXNDC17_prot|UBAP2_prot|UBE2M_prot|UBE3C_prot|UBN2_prot|UBQLN2_prot|UCHL3_prot|USP34_prot|USP47_prot|UTP20_prot|VNN1_prot|WDR75_prot|WDR77_prot|WDR83_prot|YEATS2_prot|ZBTB7B_prot|ZCCHC3_prot|ZFP91_prot|ZKSCAN8_prot|ZMAT2_prot|ZNF276_prot,286,60.08172862389875,0.11534137238495645,0.3405164185080999,0.2571428571428571,0.21426096893738647,0.35486036365060913,2,Foretinib (XL880),proteomics
0,gbt,C18orf21_prot|LGALSL_prot|SLC43A3_prot|UBXN7_prot,4,54.384026154560296,0.0010974669831452788,0.3453943499354405,0.11216226912647437,0.207344008166929,0.6906477526482826,3,Foretinib (XL880),proteomics
0,gbt,ADRM1_prot|AGO2_prot|ANLN_prot|ANTXR2_prot|APOH_prot|ARHGAP18_prot|ASF1B_prot|BET1L_prot|BZW1_prot|CARM1_prot|CCT2_prot|CD68_prot|CEBPZOS_prot|CLK1_prot|CNOT2_prot|CPOX_prot|CREBBP_prot|DNAJC14_prot|EIF4E2_prot|EMILIN2_prot|ERC1_prot|FAM208A_prot|FAM3A_prot|GATAD2A_prot|GBP1_prot|GNPTAB_prot|GOLGA4_prot|GTF2B_prot|HPS6_prot|ICAM3_prot|IMPA2_prot|ITGB3_prot|ITSN2_prot|KCNAB2_prot|KIAA0391_prot|LCMT1_prot|LUZP1_prot|MAP2K5_prot|MAPK1IP1L_prot|MBD4_prot|MED13L_prot|METTL21A_prot|MGST1_prot|MKRN2_prot|MORC3_prot|MRPS36_prot|MTHFR_prot|MYCBP2_prot|MYCBP_prot|MYO5C_prot|MZT2B_prot|NCOA6_prot|NDUFB2_prot|NFATC3_prot|NSFL1C_prot|NT5C_prot|NUDT18_prot|NUP107_prot|NUP214_prot|NUP35_prot|OLA1_prot|PARVB_prot|PDIA4_prot|PIGU_prot|PIK3R6_prot|POLE4_prot|PRAF2_prot|PRDM10_prot|PRKAR1A_prot|PRRC1_prot|RBL1_prot|RICTOR_prot|RNPS1_prot|SECISBP2L_prot|SELENOO_prot|SELENOT_prot|SEPT1_prot|SH2D1A_prot|SHCBP1_prot|SLC43A3_prot|SMC1A_prot|SNW1_prot|SSR4_prot|STK11IP_prot|STXBP3_prot|TBC1D20_prot|TIMM17B_prot|TNK2_prot|TOP3B_prot|TPK1_prot|TRAF2_prot|TRAP1_prot|TRIM16_prot|TSC22D1_prot|TWF1_prot|UBA1_prot|ZNF22_prot,97,48.30171242728767,0.03735328294376328,0.4589071712996785,0.42857142857142855,0.08531436550504158,0.11096021426087677,4,Foretinib (XL880),proteomics
0,gbt,ARID1B_prot|CD36_prot|CEP152_prot|CHD9_prot|CNOT2_prot|ETFA_prot|GLA_prot|GLYR1_prot|HEBP2_prot|HMGN1_prot|HSD17B10_prot|HUWE1_prot|IKBKB_prot|LCMT1_prot|MBTD1_prot|MRM3_prot|MSL1_prot|NHEJ1_prot|OSBP_prot|PAF1_prot|PASK_prot|PNPO_prot|PRDX4_prot|PTMA_prot|QSOX2_prot|RASAL3_prot|RCC2_prot|RFXANK_prot|SELENOT_prot|SF3A1_prot|SFSWAP_prot|SH2D1A_prot|SLC43A3_prot|TPD52_prot|TRPT1_prot|TUBA1C_prot|ZMYND8_prot|ZNF639_prot|ZNF655_prot|ZNF865_prot,40,48.260137163511644,0.026870430421637614,0.18636017880419772,0.2785714285714285,0.5060392240574868,0.3147094732307908,5,Foretinib (XL880),proteomics
0,gbt,ALKBH5_prot|ATXN2L_prot|ATXN7_prot|AURKB_prot|C19orf70_prot|CCT2_prot|CNOT10_prot|CRISP3_prot|DMXL2_prot|DYNC1I2_prot|EEF1B2_prot|EI24_prot|EIF4EBP1_prot|ERCC6L_prot|FAR2_prot|GGACT_prot|HAUS3_prot|HSPA13_prot|KIAA0100_prot|MGST1_prot|MYCBP_prot|MYO5C_prot|OSBPL9_prot|PAF1_prot|PARVB_prot|PSMD7_prot|TARS_prot|USB1_prot|USP4_prot|WDTC1_prot,30,54.61088066681183,-0.1738898102853892,-0.05115615394308076,-0.06785714285714285,0.8563238383845491,0.8101088187105131,6,Foretinib (XL880),proteomics
0,gbt,ABI2_prot|ACSF2_prot|AGMAT_prot|AGO3_prot|AP2A2_prot|APOH_prot|ARHGAP12_prot|ARHGAP45_prot|ARHGAP9_prot|ARHGEF2_prot|ASNS_prot|ATXN2L_prot|BAG1_prot|BPGM_prot|C16orf58_prot|C1orf109_prot|CASC4_prot|CCDC137_prot|CCDC93_prot|CDAN1_prot|CDC40_prot|CDK4_prot|CISD1_prot|CLCN7_prot|COA1_prot|CSRP1_prot|CUL5_prot|CYP20A1_prot|CYP51A1_prot|DIDO1_prot|DMTN_prot|DNAJC11_prot|DRAP1_prot|DYNLL2_prot|ECI2_prot|ELOB_prot|ERO1B_prot|EZR_prot|FAM3C_prot|FUBP3_prot|GATAD2A_prot|GDE1_prot|GOLPH3L_prot|GP1BB_prot|GP9_prot|GPD1L_prot|GSK3B_prot|GSS_prot|GTPBP4_prot|HEATR1_prot|HEXIM1_prot|HSD17B12_prot|HSD17B8_prot|ICAM1_prot|INPP4A_prot|INTS13_prot|ISG20_prot|ITGB1_prot|JCHAIN_prot|KIF3A_prot|KLC1_prot|KRAS_prot|LAMP2_prot|LAT2_prot|LIN9_prot|LRRC42_prot|LTV1_prot|MAP1B_prot|MAP2K5_prot|MAP7D3_prot|MAPK12_prot|MARF1_prot|MARK3_prot|MBD4_prot|MCM3AP_prot|MCMBP_prot|MED13L_prot|MED30_prot|METTL21A_prot|METTL5_prot|MGAT1_prot|MGST1_prot|MICAL3_prot|MON2_prot|MPC1_prot|MPZL1_prot|MRM3_prot|MSL2_prot|MTERF4_prot|MTFP1_prot|MTMR1_prot|MYB_prot|MYCBP2_prot|MYO5C_prot|N4BP2L1_prot|NCOA6_prot|NDUFA5_prot|NFXL1_prot|NHEJ1_prot|NLE1_prot|NUP43_prot|OCLN_prot|OSBP_prot|PAG1_prot|PAIP1_prot|PATL1_prot|PBX2_prot|PCBP1_prot|PCMTD1_prot|PDLIM7_prot|PDZD8_prot|PELP1_prot|PEX19_prot|PEX3_prot|PIGT_prot|PIP4K2C_prot|PLA2G4A_prot|PLD4_prot|PMS2_prot|PNPO_prot|POLR2B_prot|PPIL1_prot|PPM1A_prot|PPP2R5C_prot|PRDX4_prot|PSMA2_prot|PSMA4_prot|PSMC4_prot|PSMD1_prot|PYCR3_prot|QKI_prot|QSOX2_prot|RAD9A_prot|RALB_prot|RCC2_prot|RMDN3_prot|RPS6KA3_prot|RPS6KA4_prot|RRM2_prot|SART1_prot|SCAF4_prot|SDHD_prot|SEL1L_prot|SF3A1_prot|SGTA_prot|SH3KBP1_prot|SLC25A3_prot|SLC25A51_prot|SLC27A2_prot|SLC30A6_prot|SMPDL3B_prot|SNRPG_prot|SNX20_prot|SP4_prot|SPC25_prot|SPOUT1_prot|SQOR_prot|STK11_prot|STK26_prot|STRN3_prot|SUCLG2_prot|SUPT7L_prot|SUSD1_prot|SYNGR1_prot|SYNJ2_prot|TAF5L_prot|TBC1D7_prot|TBP_prot|TINF2_prot|TIPRL_prot|TLN2_prot|TMCO6_prot|TMEM106B_prot|TMEM120A_prot|TMEM177_prot|TMEM97_prot|TMF1_prot|TPD52_prot|TPM3_prot|TPM4_prot|TRIM58_prot|TRMT10C_prot|TTI1_prot|TUBA3C_prot|TUBGCP3_prot|UBE2G1_prot|UBXN7_prot|USF1_prot|USP4_prot|WDFY4_prot|WDR18_prot|WDR6_prot|ZNF264_prot|ZNF276_prot|ZNF397_prot|ZNF646_prot|ZNF773_prot|ZNF784_prot,198,60.189854849459515,0.07164382315053852,0.43459411053964414,0.5857142857142856,0.10548970486092538,0.021776517619042774,7,Foretinib (XL880),proteomics
0,gbt,AACS_prot|ABI3_prot|ACAD10_prot|ACAT2_prot|ACD_prot|ACO1_prot|ACO2_prot|ACTR3B_prot|ACTR3_prot|AGFG2_prot|AGO2_prot|AGO3_prot|AHDC1_prot|AKAP8L_prot|ALAS1_prot|ALG13_prot|ANAPC10_prot|ANAPC4_prot|ANKFY1_prot|ANKRD13D_prot|ANP32A_prot|AP1AR_prot|AP2A2_prot|APOH_prot|ARHGAP18_prot|ARHGAP1_prot|ARID4B_prot|ARSA_prot|ASCC2_prot|ATF2_prot|ATG16L1_prot|ATG9A_prot|ATOX1_prot|ATP2C1_prot|ATP7A_prot|BCL2L13_prot|BCL7B_prot|BCL7C_prot|BORCS6_prot|BPGM_prot|C8orf82_prot|CALR_prot|CAMK2D_prot|CBS_prot|CCDC134_prot|CCNDBP1_prot|CCP110_prot|CD36_prot|CD38_prot|CDV3_prot|CHCHD6_prot|CHML_prot|CLASP1_prot|COA1_prot|COL4A3BP_prot|COMMD8_prot|COMT_prot|COX20_prot|CPSF1_prot|CRLF3_prot|CSRP1_prot|D2HGDH_prot|DAD1_prot|DCAF15_prot|DCAF6_prot|DCTN5_prot|DDX41_prot|DECR2_prot|DEGS1_prot|DHODH_prot|DHRS9_prot|DHTKD1_prot|DIS3L_prot|DMXL1_prot|DNAJC1_prot|DNLZ_prot|DPM3_prot|DSTN_prot|DYNLL2_prot|ECHDC1_prot|ECI1_prot|EEF2K_prot|EML3_prot|ENOPH1_prot|ERGIC3_prot|EXOC3_prot|EYA3_prot|FAM185A_prot|FAM192A_prot|FEN1_prot|FIS1_prot|FLNB_prot|FLYWCH2_prot|FOXO3_prot|FUNDC1_prot|GCC2_prot|GFOD1_prot|GP9_prot|GPD2_prot|HLA-DRB1_prot|HOOK3_prot|IKBKB_prot|INTS8_prot|IQSEC1_prot|IRF2BP2_prot|KATNAL1_prot|KDSR_prot|KIAA0100_prot|KIFC1_prot|KRIT1_prot|L3HYPDH_prot|LAT2_prot|LCK_prot|LIMS1_prot|LPP_prot|LRCH4_prot|LTV1_prot|MAN2A2_prot|MAP1B_prot|MAP2K5_prot|MAP3K4_prot|MBD4_prot|MCMBP_prot|MED25_prot|METTL1_prot|MFSD10_prot|MGME1_prot|MGST1_prot|MICAL1_prot|MPG_prot|MPHOSPH10_prot|MPO_prot|MRPL32_prot|MTIF2_prot|MYLK_prot|MYO5C_prot|NCOA6_prot|NDUFA13_prot|NDUFAF5_prot|NEK4_prot|NEU1_prot|NFATC2_prot|NIT1_prot|NME3_prot|NRM_prot|NUCB2_prot|NUP107_prot|NXT1_prot|ODF2_prot|OFD1_prot|ORM1_prot|P4HTM_prot|PAXX_prot|PCF11_prot|PDE3B_prot|PFDN2_prot|PFDN4_prot|PLBD1_prot|PLPBP_prot|PNPO_prot|POLD1_prot|POLD2_prot|PON2_prot|PPP1R14B_prot|PRKAR1A_prot|PSMD3_prot|PSMG1_prot|PTGS1_prot|PYCR3_prot|QSOX2_prot|RAB31_prot|RAB3GAP1_prot|RARS_prot|RASA3_prot|RBM17_prot|RCSD1_prot|RDH13_prot|REEP4_prot|RINL_prot|RIOX2_prot|RMI1_prot|RNF135_prot|RPL22L1_prot|RPL36A_prot|RPS21_prot|RPS6KA5_prot|RTEL1-TNFRSF6B_prot|RTF1_prot|SART1_prot|SDHAF3_prot|SDHC_prot|SEL1L_prot|SEPT1_prot|SEPT2_prot|SHCBP1_prot|SLC25A22_prot|SLC25A3_prot|SLC2A3_prot|SLC33A1_prot|SMARCD1_prot|SMPDL3B_prot|SNRPB2_prot|SNRPD1_prot|SNX9_prot|SPATS2L_prot|SPECC1L_prot|SPEN_prot|STARD3_prot|STK38L_prot|SUMO2_prot|SUSD1_prot|SYF2_prot|TACC3_prot|TADA1_prot|TBCD_prot|TBXAS1_prot|TDP1_prot|THAP12_prot|THG1L_prot|THNSL1_prot|TIMM50_prot|TINF2_prot|TMCO1_prot|TOMM20_prot|TOMM40_prot|TONSL_prot|TRAP1_prot|TRERF1_prot|TRMT10A_prot|TTC13_prot|TTC21B_prot|TUBA1C_prot|UBE2D1_prot|UBE2D3_prot|UBE2F_prot|UBE2M_prot|UBE2S_prot|UBXN7_prot|UGGT1_prot|ULK3_prot|UMAD1_prot|UNK_prot|USP1_prot|USP30_prot|USP9X_prot|VCAN_prot|VCPIP1_prot|WDR75_prot|YKT6_prot|ZBED4_prot|ZBTB33_prot|ZBTB9_prot|ZC3H13_prot|ZC3HAV1L_prot|ZCCHC4_prot|ZDHHC6_prot|ZNF324_prot|ZNF410_prot|ZNF420_prot,259,38.394943222230175,0.021566353692847207,0.5162081597112507,0.2678571428571428,0.048845096448362456,0.3344436005123538,8,Foretinib (XL880),proteomics
0,gbt,AACS_prot|ACAD8_prot|AGO3_prot|AHCTF1_prot|AIMP2_prot|AKT1S1_prot|ALKBH5_prot|ANXA4_prot|AP1S2_prot|APEH_prot|APOH_prot|ARHGAP27_prot|ARMC8_prot|ATP8A1_prot|B4GALT7_prot|BIN2_prot|BRD7_prot|C4A_prot|C5AR1_prot|C7orf25_prot|C7orf50_prot|CCDC97_prot|CCPG1_prot|CD36_prot|CDK12_prot|CHMP6_prot|CLCN3_prot|CLIP2_prot|CLK1_prot|CNOT3_prot|COMMD8_prot|CREBBP_prot|CTH_prot|CTSA_prot|DAAM1_prot|DCK_prot|DDB2_prot|DHX35_prot|DIMT1_prot|DNAJC2_prot|DNTTIP2_prot|DSCC1_prot|DVL3_prot|ECHDC1_prot|EDC3_prot|EIF2A_prot|ELOF1_prot|EMC7_prot|ERP44_prot|EYA3_prot|FAH_prot|FAM193A_prot|FBLL1_prot|FBXO42_prot|FOXO3_prot|GAMT_prot|GID8_prot|GLA_prot|GLUL_prot|GNPAT_prot|HERC2_prot|HIST2H3A_prot|ICAM2_prot|IGHG2_prot|IGHG4_prot|IGLC2_prot|IGLL5_prot|KIAA0100_prot|KIF2A_prot|KIT_prot|KLHL11_prot|KNTC1_prot|KRI1_prot|L3MBTL3_prot|LAMP2_prot|LARP1_prot|LCMT1_prot|LDLRAP1_prot|LRRFIP1_prot|LTV1_prot|MAN2A2_prot|MANF_prot|MAPK8_prot|METAP1_prot|MGST1_prot|MGST3_prot|MIB1_prot|MMGT1_prot|MPC1_prot|MRM2_prot|MRPL17_prot|MVB12B_prot|MYCBP2_prot|MYLK_prot|N6AMT1_prot|NCF2_prot|NDUFA11_prot|NDUFS5_prot|NFATC3_prot|NHEJ1_prot|NIF3L1_prot|NSFL1C_prot|NTPCR_prot|OMA1_prot|P3H1_prot|PAG1_prot|PATL1_prot|PAXX_prot|PDSS2_prot|PIK3CG_prot|PNN_prot|POC5_prot|POLR2B_prot|PPCS_prot|PRDX6_prot|PRKCE_prot|PRPF40A_prot|PSMC4_prot|PTBP1_prot|PTGR2_prot|PXN_prot|RAB15_prot|RAB3GAP1_prot|RABEPK_prot|RAP1GAP2_prot|RCL1_prot|RDH14_prot|RECQL_prot|RICTOR_prot|RNGTT_prot|RPL17_prot|RPL18_prot|RPRD1B_prot|RPS13_prot|RPS6KB1_prot|RSRC1_prot|RWDD2B_prot|SDF2_prot|SDHAF4_prot|SELENOO_prot|SH2D1A_prot|SHMT2_prot|SIL1_prot|SKIV2L_prot|SLAIN2_prot|SNUPN_prot|SPRYD7_prot|SRSF7_prot|SUCLA2_prot|SUMF1_prot|SUPT6H_prot|SZRD1_prot|TADA1_prot|TAF10_prot|TAF11_prot|TBC1D7_prot|TCEANC2_prot|TESC_prot|TIMM17B_prot|TIPRL_prot|TJAP1_prot|TMEM120A_prot|TMF1_prot|TRADD_prot|TTC13_prot|UBAP2_prot|UBE2C_prot|UBE2D3_prot|UBE3B_prot|UBR3_prot|UBXN4_prot|UFD1_prot|USP1_prot|VMAC_prot|VPS16_prot|XPC_prot|XPNPEP1_prot|YTHDF3_prot|ZBTB21_prot|ZBTB9_prot|ZCCHC3_prot|ZFPM1_prot,182,60.19074666529256,0.10034344710438348,0.38155938497033426,0.47857142857142854,0.1605156794990109,0.07113080825563321,9,Foretinib (XL880),proteomics
