,model,feature_names,n_feat,rmse,r2,pearson,spearman,pr,sr,k,drug_name,data_type
0,gbt,AAR2_prot|AARS_prot|ABCD3_prot|ABCF1_prot|ABL1_prot|ABRAXAS2_prot|ACOT13_prot|ACTN2_prot|ACTR8_prot|ADARB1_prot|AKAP13_prot|ALAS1_prot|ALDH1A2_prot|ANAPC16_prot|ANKRD54_prot|APOBEC3C_prot|APOH_prot|APOL3_prot|ARHGAP27_prot|ARHGEF2_prot|ARRB1_prot|ASCC3_prot|ATAD2B_prot|ATG2B_prot|ATP5J_prot|BAG1_prot|BCL2L13_prot|BCL7C_prot|BET1L_prot|BLOC1S3_prot|BRIX1_prot|BRK1_prot|BTN3A3_prot|C16orf87_prot|C18orf32_prot|C9orf72_prot|CAAP1_prot|CACYBP_prot|CAPN7_prot|CCAR2_prot|CCDC43_prot|CCDC88A_prot|CCDC88C_prot|CCT2_prot|CD164_prot|CD4_prot|CDAN1_prot|CDK12_prot|CDK5_prot|CEBPA_prot|CEBPZOS_prot|CERS2_prot|CHKB_prot|CHST12_prot|CHST13_prot|CIC_prot|CLC_prot|CMC2_prot|CNOT10_prot|COG1_prot|COG4_prot|COMMD1_prot|COPS4_prot|COPS5_prot|COPS7B_prot|COPS8_prot|COX5A_prot|CREG1_prot|CRYL1_prot|CSNK2A1_prot|CTBS_prot|CTNNA1_prot|DCAF6_prot|DCAKD_prot|DCTN5_prot|DDX55_prot|DDX60L_prot|DDX6_prot|DEFA3_prot|DHX38_prot|DIAPH2_prot|DIEXF_prot|DMAC1_prot|DNAJB12_prot|DNAJC10_prot|DNAJC14_prot|DNAJC16_prot|DNAJC17_prot|DNAJC2_prot|DNAJC7_prot|DNMBP_prot|DNPH1_prot|DOCK11_prot|DOK2_prot|DRAP1_prot|DSTN_prot|EHD3_prot|EIF1AD_prot|EIF1_prot|EIF4G3_prot|ELAC2_prot|EMC10_prot|ENO2_prot|ENPP4_prot|EPB41L2_prot|EPHX1_prot|ERCC6_prot|ETHE1_prot|EXOC2_prot|EXOC3_prot|EXOSC2_prot|FAF1_prot|FAM118A_prot|FAM122A_prot|FAM98C_prot|FBXL17_prot|FBXO28_prot|FCN1_prot|FGG_prot|FNBP1L_prot|FURIN_prot|FXR2_prot|GALNT1_prot|GAS7_prot|GATD1_prot|GIGYF1_prot|GMPS_prot|GOLGA5_prot|GOLPH3_prot|GPALPP1_prot|GRAMD4_prot|GRHPR_prot|GRK3_prot|GSTM3_prot|GSTZ1_prot|GTF3A_prot|GTF3C5_prot|GTSE1_prot|GTSF1_prot|GUK1_prot|GZMM_prot|HAUS2_prot|HAUS7_prot|HEBP1_prot|HEMGN_prot|HERC4_prot|HIF1AN_prot|HIST1H3A_prot|HMBS_prot|HMGN1_prot|HNRNPLL_prot|HNRNPL_prot|HSDL1_prot|HSP90AA1_prot|HSP90AB1_prot|HSPB1_prot|IFIT5_prot|IGHV3-7_prot|INTS6_prot|ISY1_prot|ITCH_prot|ITFG2_prot|ITIH4_prot|JADE1_prot|JAK3_prot|JUNB_prot|KANK2_prot|KANSL3_prot|KATNA1_prot|KATNAL1_prot|KATNB1_prot|KIT_prot|KLHL6_prot|KTI12_prot|LAMP2_prot|LHPP_prot|LNPK_prot|LPCAT1_prot|LSM14B_prot|LXN_prot|LY75_prot|MAN2C1_prot|MAP4K5_prot|MAP7D3_prot|MBP_prot|MED18_prot|METTL21A_prot|MMTAG2_prot|MORF4L2_prot|MRPS2_prot|MTOR_prot|MTPN_prot|MTX2_prot|MUTYH_prot|NAA35_prot|NACC1_prot|NCEH1_prot|NCK1_prot|NCOA3_prot|NCSTN_prot|NDUFAF8_prot|NF2_prot|NFXL1_prot|NHSL2_prot|NME4_prot|NNT_prot|NQO2_prot|NRF1_prot|NSMAF_prot|NUFIP1_prot|OFD1_prot|OGFOD2_prot|OSBPL7_prot|PA2G4_prot|PABPC4_prot|PDXK_prot|PDZD11_prot|PEX3_prot|PFKL_prot|PIGT_prot|PLS1_prot|PMM2_prot|POFUT2_prot|PPP2R1A_prot|PRCP_prot|PRDX1_prot|PRKAA1_prot|PRMT7_prot|PRPF31_prot|PSMA1_prot|PSMB3_prot|PSMG1_prot|PSMG4_prot|PTBP3_prot|PTPRA_prot|RAB34_prot|RABAC1_prot|RABGAP1_prot|RALGAPA1_prot|RAP1GAP2_prot|RBM7_prot|RBMXL1_prot|RCN2_prot|RCOR3_prot|RDH13_prot|RFXANK_prot|RHOT2_prot|RICTOR_prot|RIOX2_prot|RMI2_prot|RMND1_prot|RMND5A_prot|RNF126_prot|RNF181_prot|RPL15_prot|RPL22L1_prot|RPL36A_prot|RPL37_prot|RPS10-NUDT3_prot|RPS14_prot|RPS6_prot|RSRC1_prot|RSRC2_prot|RTRAF_prot|SAE1_prot|SAMSN1_prot|SAP30L_prot|SATB1_prot|SDF2_prot|SDHAF4_prot|SEC23B_prot|SEC24B_prot|SF3B4_prot|SIGIRR_prot|SIRT6_prot|SKI_prot|SLC25A20_prot|SLC25A40_prot|SLC27A2_prot|SLC30A5_prot|SLC33A1_prot|SMC2_prot|SMG8_prot|SNX29_prot|SOS2_prot|SPAST_prot|SQSTM1_prot|STK35_prot|STK39_prot|STMN3_prot|STON2_prot|STUB1_prot|STX17_prot|SUMF1_prot|SYF2_prot|SYNGR1_prot|TAB2_prot|TAF3_prot|TAF9_prot|TBC1D20_prot|TDP2_prot|TECR_prot|TEFM_prot|TFCP2_prot|TFIP11_prot|TGM2_prot|THUMPD1_prot|TLDC1_prot|TMA16_prot|TMEM160_prot|TMEM165_prot|TMEM184C_prot|TMEM68_prot|TMF1_prot|TOP2A_prot|TPM2_prot|TPM4_prot|TRANK1_prot|TTC17_prot|TTI2_prot|TUBA1C_prot|TXNDC17_prot|TXN_prot|UBE2G2_prot|UBP1_prot|UBQLN4_prot|UEVLD_prot|UNC13D_prot|USP5_prot|VPS28_prot|WBP11_prot|WDCP_prot|WDR37_prot|WDR74_prot|YY1AP1_prot|ZAP70_prot|ZC3H4_prot|ZC3HC1_prot|ZNF100_prot|ZNF184_prot|ZNF639_prot|ZNF768_prot|ZNF773_prot|ZYG11B_prot,344,35.280341921677184,0.21545507704568145,0.6290833435697878,0.5642857142857142,0.011988810032747602,0.028432522148708533,0,INK-128,proteomics
0,gbt,AAGAB_prot|AAMP_prot|AAR2_prot|AARS2_prot|AASDHPPT_prot|ABCC4_prot|ABI1_prot|ACAP1_prot|ACSL4_prot|ACTR5_prot|ADGRG5_prot|AES_prot|AFDN_prot|AGO2_prot|AGPAT5_prot|AIP_prot|AKAP8_prot|AKT2_prot|ALAS1_prot|ALDH9A1_prot|ANO6_prot|AP1AR_prot|AP4E1_prot|APBB1IP_prot|APOBEC3G_prot|APOD_prot|APRT_prot|ARFGAP3_prot|ARHGAP27_prot|ARHGAP9_prot|ARL14EP_prot|ARMC6_prot|ARMCX3_prot|ASCC3_prot|ATR_prot|ATXN2L_prot|BAK1_prot|BCAS2_prot|BCAT1_prot|BCL2L13_prot|BECN1_prot|BET1L_prot|BIRC6_prot|BMP2K_prot|BRD1_prot|BRIX1_prot|BSDC1_prot|BZW1_prot|C19orf54_prot|C1orf50_prot|C5AR1_prot|C5orf24_prot|C7orf25_prot|C9orf72_prot|CAAP1_prot|CALD1_prot|CAMKK2_prot|CAPZA1_prot|CARD11_prot|CARD16_prot|CASP8AP2_prot|CASP8_prot|CBFA2T3_prot|CCDC127_prot|CCDC82_prot|CCDC84_prot|CCDC88A_prot|CCM2_prot|CCNL2_prot|CCT3_prot|CD151_prot|CD33_prot|CD47_prot|CD53_prot|CD55_prot|CD74_prot|CDV3_prot|CDYL2_prot|CEBPD_prot|CENPF_prot|CENPI_prot|CEP170_prot|CEP97_prot|CERS2_prot|CES1_prot|CGAS_prot|CHMP4B_prot|CHMP5_prot|CLEC11A_prot|CMTM6_prot|CNOT10_prot|CNOT8_prot|CNOT9_prot|COG1_prot|COG2_prot|COG3_prot|COG5_prot|COPS3_prot|COPZ1_prot|COX7B_prot|CPPED1_prot|CRIP1_prot|CRP_prot|CSTF2_prot|CSTF3_prot|CTSA_prot|CTU2_prot|CYP51A1_prot|DAPP1_prot|DDAH2_prot|DDB2_prot|DDRGK1_prot|DDT_prot|DDX47_prot|DDX59_prot|DENND4C_prot|DENR_prot|DFFB_prot|DHRS9_prot|DHX36_prot|DHX37_prot|DNAJA2_prot|DNAJC16_prot|DNAJC1_prot|DNAJC7_prot|DOCK11_prot|DSCC1_prot|DYNLT3_prot|EBNA1BP2_prot|EEF2_prot|EIF3C_prot|EIF4ENIF1_prot|EIF4G3_prot|EIF4H_prot|ELOF1_prot|ELP5_prot|ENDOD1_prot|ENGASE_prot|EPB41L3_prot|EPDR1_prot|ERAP2_prot|ERBIN_prot|FABP5_prot|FADS1_prot|FADS2_prot|FAM103A1_prot|FAM111A_prot|FAM172A_prot|FAM3A_prot|FAM49A_prot|FBXL17_prot|FBXO28_prot|FBXO4_prot|FBXO7_prot|FBXW11_prot|FGD3_prot|FGD4_prot|FIS1_prot|FOXO3_prot|FSCN1_prot|FTSJ3_prot|FURIN_prot|GALM_prot|GALNT1_prot|GDE1_prot|GEMIN2_prot|GGACT_prot|GIGYF1_prot|GIMAP7_prot|GINS4_prot|GLRX5_prot|GMPS_prot|GNPDA2_prot|GOLGA5_prot|GPR107_prot|GRN_prot|GSE1_prot|GSTCD_prot|GTF3C2_prot|GTF3C3_prot|GTPBP2_prot|GTSE1_prot|HAUS1_prot|HAUS7_prot|HDAC10_prot|HDAC7_prot|HELZ_prot|HIP1_prot|HIST2H3PS2_prot|HLA-A_prot|HMBS_prot|HMG20A_prot|HNMT_prot|HNRNPM_prot|HOXB4_prot|HPF1_prot|HSBP1_prot|HSPA2_prot|HSPA4L_prot|HSPG2_prot|IDH2_prot|IGHV3-15_prot|IL10RB_prot|INPP5D_prot|INTS11_prot|IQSEC1_prot|IRF2_prot|ISYNA1_prot|ITGA6_prot|ITIH4_prot|JAK3_prot|JMJD1C_prot|KANK2_prot|KDSR_prot|KIAA0391_prot|KLHDC4_prot|KLHL6_prot|KMT5B_prot|KRT8_prot|LAT2_prot|LMAN1_prot|LPCAT2_prot|LRRC14_prot|LRRC42_prot|LSM14B_prot|LY75_prot|LYPLA2_prot|MAN2A2_prot|MANF_prot|MAPRE2_prot|MBP_prot|MED23_prot|MED25_prot|MED28_prot|MEFV_prot|METTL18_prot|METTL2B_prot|MIB2_prot|MINDY3_prot|MKL1_prot|MOB2_prot|MPDU1_prot|MPP6_prot|MPRIP_prot|MRGBP_prot|MRI1_prot|MRPL21_prot|MRPL42_prot|MRPS2_prot|MT-CO2_prot|MTFMT_prot|MTX1_prot|MVK_prot|MYEF2_prot|MYH10_prot|MYO18A_prot|MZB1_prot|NAA35_prot|NAAA_prot|NAE1_prot|NASP_prot|NCKIPSD_prot|NCOR2_prot|NCSTN_prot|NDUFA1_prot|NDUFA4_prot|NEDD8_prot|NELFA_prot|NFATC2IP_prot|NFXL1_prot|NHEJ1_prot|NIN_prot|NOL12_prot|NONO_prot|NOP53_prot|NOSIP_prot|NOTCH1_prot|NPAT_prot|NPEPL1_prot|NR2C2_prot|NRDC_prot|NRF1_prot|NRM_prot|NUDT4_prot|NUMBL_prot|NUP153_prot|NUP210_prot|OBSL1_prot|OCIAD2_prot|OFD1_prot|OSBPL1A_prot|OXA1L_prot|PA2G4_prot|PABPC1_prot|PAFAH1B1_prot|PAFAH1B3_prot|PARN_prot|PARP14_prot|PCBD1_prot|PCBP1_prot|PCNP_prot|PC_prot|PEX16_prot|PEX3_prot|PGM1_prot|PGRMC2_prot|PHACTR4_prot|PHF11_prot|PIAS4_prot|PIK3R4_prot|PIK3R6_prot|PIP5K1A_prot|PLA2G4A_prot|PMS1_prot|PNN_prot|POLDIP2_prot|POLE3_prot|POLR2E_prot|POLR2F_prot|PON2_prot|PPP1CC_prot|PPP2R5D_prot|PPP5C_prot|PPP6R2_prot|PRDX1_prot|PRDX4_prot|PREP_prot|PRKAR1A_prot|PRKD2_prot|PRPF31_prot|PSD4_prot|PSMA7_prot|PSMD6_prot|PSMG2_prot|PTK2_prot|PTRHD1_prot|PUM2_prot|PURA_prot|PXN_prot|PYCR1_prot|QTRT1_prot|RAB2B_prot|RAB7B_prot|RABEP1_prot|RABGAP1L_prot|RABGAP1_prot|RABGEF1_prot|RABGGTA_prot|RACK1_prot|RALA_prot|RALB_prot|RAP1GAP2_prot|RAPGEF1_prot|RARA_prot|RASA1_prot|RBM42_prot|RBM4_prot|RBX1_prot|RCC1L_prot|RECQL5_prot|REXO4_prot|RFXANK_prot|RGS3_prot|RLF_prot|RMDN1_prot|RNASEL_prot|RNF14_prot|RNF214_prot|RNF7_prot|RP2_prot|RPAIN_prot|RPE_prot|RPRD1A_prot|RPS26_prot|RPS27_prot|RPS3_prot|RPSA_prot|RRAS2_prot|RWDD2B_prot|SARNP_prot|SASH3_prot|SCCPDH_prot|SDCCAG8_prot|SEC61A1_prot|SEL1L_prot|SELENOH_prot|SERF2_prot|SETD3_prot|SGTB_prot|SHARPIN_prot|SHMT2_prot|SLC25A10_prot|SLC25A20_prot|SLC35A4_prot|SLC35B2_prot|SLC7A6OS_prot|SLC9A3R2_prot|SMAD3_prot|SMARCA4_prot|SMG8_prot|SMPDL3B_prot|SNAP23_prot|SNIP1_prot|SNRNP70_prot|SNX3_prot|SP100_prot|SPC24_prot|SQSTM1_prot|SRP19_prot|SRPRB_prot|SRRM2_prot|SSB_prot|SSR1_prot|SSR3_prot|SSSCA1_prot|STAT2_prot|STAT6_prot|STRN4_prot|STUB1_prot|STX16_prot|STX17_prot|STX5_prot|SUMF1_prot|SUPT20H_prot|SUPT6H_prot|SUPT7L_prot|SVBP_prot|TADA1_prot|TAF15_prot|TAF3_prot|TAF9B_prot|TARS_prot|TBC1D5_prot|TBCC_prot|TDG_prot|TES_prot|TFB1M_prot|THAP11_prot|TIMM22_prot|TIMM23_prot|TLE3_prot|TMA16_prot|TMED9_prot|TMEM14C_prot|TMEM160_prot|TMEM179B_prot|TMEM68_prot|TMEM9B_prot|TOR4A_prot|TPM2_prot|TPX2_prot|TRAM1_prot|TRIM38_prot|TRIO_prot|TRIP4_prot|TRIP6_prot|TRMT1L_prot|TRMT2A_prot|TRMU_prot|TTC17_prot|TTC39C_prot|TTC7A_prot|TTF1_prot|TTPAL_prot|TUBB4B_prot|TXNIP_prot|UBA6_prot|UBE2B_prot|UBE2G2_prot|UBE2N_prot|UBE2Z_prot|UBR2_prot|UBXN1_prot|UCHL3_prot|USP16_prot|USP32_prot|VAPA_prot|VAV2_prot|VPS28_prot|VPS39_prot|WASF2_prot|WDR24_prot|WDR5_prot|WDR74_prot|WRB_prot|XIAP_prot|XPO1_prot|YOD1_prot|YY1AP1_prot|ZADH2_prot|ZBTB44_prot|ZBTB7A_prot|ZC3H7A_prot|ZC3HAV1_prot|ZCCHC6_prot|ZFYVE21_prot|ZNF100_prot|ZNF106_prot|ZNF148_prot|ZNF185_prot|ZNF2_prot|ZNF317_prot|ZNF420_prot|ZNF639_prot|ZNF787_prot|ZXDC_prot,506,39.565235756272415,0.04476538680526354,0.5973097921408284,0.5607142857142856,0.0187113335205389,0.02967649609447467,1,INK-128,proteomics
0,gbt,BCAS2_prot|COMMD3-BMI1_prot|HPCAL1_prot|TRNAU1AP_prot,4,57.73871238748979,-0.050982705390123506,-0.40742574085663197,-0.4464700977364077,0.13171826800866207,0.09525870476040631,2,INK-128,proteomics
0,gbt,ADAM8_prot|ADGRE2_prot|AGO3_prot|AHSG_prot|AK4_prot|ANKRD54_prot|ARHGAP30_prot|ARHGEF11_prot|ASCC3_prot|BAZ2A_prot|BLOC1S3_prot|CCDC174_prot|CD97_prot|CENPH_prot|COG2_prot|COMMD4_prot|CSTA_prot|CSTF2_prot|DDAH2_prot|DIAPH3_prot|DNAJC16_prot|DOK2_prot|DRAP1_prot|ELP5_prot|FYB1_prot|FYN_prot|GMFG_prot|HEATR6_prot|HNMT_prot|HUS1_prot|IL10RB_prot|LSM6_prot|MCCC2_prot|MIB2_prot|MYL12A_prot|NCF2_prot|NEIL2_prot|PARVB_prot|POLR3H_prot|PUM1_prot|SAMHD1_prot|SDHAF4_prot|SETD1B_prot|SLFN11_prot|SNW1_prot|SNX12_prot|SPATA20_prot|SRSF9_prot|TCF20_prot|THTPA_prot|TIMM8A_prot|TMEM263_prot|TRIM26_prot|TUBA4B_prot|TUBB4B_prot|UQCR11_prot|USP14_prot|USP8_prot|VPS41_prot|YY1AP1_prot,60,46.473356878753606,-0.3069553885863072,-0.043122404290129104,-0.0964285714285714,0.878719303730634,0.7324528633867308,3,INK-128,proteomics
0,gbt,A2M_prot|ADARB1_prot|AKAP13_prot|ARFGAP2_prot|ASCC3_prot|ATF2_prot|ATG7_prot|BCL2L13_prot|BIN3_prot|CCDC174_prot|CD68_prot|CD9_prot|CHMP2B_prot|CHP1_prot|COG1_prot|COG2_prot|COMMD10_prot|COX5A_prot|CPPED1_prot|CTSH_prot|DDRGK1_prot|DNAJC16_prot|DNAJC2_prot|EEF1E1_prot|ELOF1_prot|EMC7_prot|EXOC4_prot|FAM3A_prot|GAA_prot|GPT2_prot|HBZ_prot|HMBS_prot|ITFG2_prot|JAK3_prot|LUC7L2_prot|MARVELD1_prot|MORF4L1_prot|MRGBP_prot|MRM2_prot|MRPL43_prot|MSL2_prot|NCSTN_prot|NDUFV3_prot|NFXL1_prot|NSMCE2_prot|PHACTR2_prot|PI4KA_prot|POLK_prot|POLR3H_prot|PPP1R7_prot|PSAT1_prot|PSMB5_prot|PSMD13_prot|RABEP1_prot|RCOR3_prot|RMND5A_prot|SLC25A20_prot|SOCS2_prot|SQSTM1_prot|STX17_prot|SUPT3H_prot|TARS_prot|TBCC_prot|TMED1_prot|TMED2_prot|TNKS1BP1_prot|TPM1_prot|TSPAN14_prot|TUBB6_prot|UBE2B_prot|UBLCP1_prot|URB2_prot|USP22_prot|USP28_prot|ZNF773_prot,75,31.963072833012436,-0.1413732261764844,0.41592628641754714,0.13406593406593406,0.13909792998981185,0.6477195279851131,4,INK-128,proteomics
0,gbt,ACBD6_prot|ADGRE2_prot|AHR_prot|AKR1A1_prot|ANKRD44_prot|ANXA6_prot|ARHGAP35_prot|ARL6IP6_prot|ASCC3_prot|ATAD2B_prot|ATP9B_prot|BAIAP2_prot|BET1L_prot|BPGM_prot|CCDC115_prot|CCDC174_prot|CDK7_prot|CEBPA_prot|CENPQ_prot|CEP131_prot|CEP97_prot|CERS2_prot|CHD8_prot|COG1_prot|CPPED1_prot|CSTF1_prot|CSTF2_prot|CTNNA1_prot|CXorf21_prot|DAD1_prot|DDX42_prot|DENND4A_prot|DHX29_prot|DHX9_prot|DIS3L_prot|DNAJC2_prot|DNLZ_prot|DVL3_prot|EDEM3_prot|EIF2B1_prot|EIF2B2_prot|EMC10_prot|EMILIN2_prot|ERAL1_prot|ERO1B_prot|FAM118A_prot|FAM49A_prot|FANCD2_prot|FBXO28_prot|FLT3_prot|FTSJ1_prot|FUT4_prot|GIMAP6_prot|GSDMD_prot|GSE1_prot|HELZ2_prot|HSPG2_prot|IL18_prot|IQGAP3_prot|ITIH4_prot|ITM2B_prot|KIF15_prot|KRT8_prot|LIAS_prot|LY86_prot|MAP4K4_prot|MBP_prot|MPC1_prot|MRPL55_prot|MRPS2_prot|MSL2_prot|MT-CO2_prot|MYH10_prot|NAIP_prot|NCOA6_prot|NDUFA5_prot|NELFCD_prot|NME4_prot|OXA1L_prot|PA2G4_prot|PCBP1_prot|PCF11_prot|PDPK1_prot|PEX3_prot|PHKA1_prot|PIAS1_prot|PIP5K1A_prot|POC1B_prot|POGZ_prot|PPIL2_prot|PRKACB_prot|PTPN7_prot|PUM2_prot|RAB44_prot|RABAC1_prot|RABEP1_prot|RAP1GAP2_prot|RARA_prot|RBM15B_prot|RCOR3_prot|RETREG3_prot|REXO4_prot|RFXAP_prot|RMND5A_prot|SLAIN2_prot|SLC25A20_prot|SLC25A40_prot|SNAP23_prot|SNRNP70_prot|SQSTM1_prot|SRP68_prot|STX17_prot|STX6_prot|SUCLA2_prot|SUMF1_prot|TAF3_prot|TANK_prot|TAPT1_prot|TARBP1_prot|TBC1D20_prot|TBCEL_prot|TM9SF1_prot|TMA16_prot|TOMM20_prot|TRAPPC13_prot|TRIM26_prot|TRIM56_prot|TRMT1L_prot|TRRAP_prot|TSNAX_prot|TTC9C_prot|TXN_prot|UBE2F_prot|UBLCP1_prot|USP5_prot|VKORC1_prot|VPS13A_prot|WBP4_prot|WDR37_prot|WDR4_prot|WDR74_prot|XIAP_prot|YTHDF2_prot|ZFPL1_prot|ZFYVE27_prot|ZHX1_prot|ZMYND8_prot|ZNF281_prot|ZNF618_prot|ZNF784_prot,150,37.37950952863854,0.3408231181261042,0.6440631374366037,0.6142857142857142,0.009559980520655128,0.014833955405976968,5,INK-128,proteomics
0,gbt,CCT2_prot|EHD4_prot|ERCC3_prot|FBXO6_prot|HLA-C_prot|LUC7L3_prot|PBXIP1_prot|PPA1_prot|PPP1CA_prot|RIDA_prot|TM9SF1_prot,11,55.453739042130415,0.022380744042957756,0.16006134382398784,0.18834270087522098,0.5687932929969272,0.5014426222950137,6,INK-128,proteomics
0,gbt,DDRGK1_prot|DHX58_prot|FGD4_prot|NASP_prot|PSMD10_prot|RPL24_prot|STX17_prot|THUMPD1_prot,8,39.701906737887555,-0.12375881010178635,0.08716493350035368,0.24372916412910237,0.7574057291689087,0.38136899388944534,7,INK-128,proteomics
0,gbt,ACADM_prot|ACADS_prot|ADPRH_prot|ADSL_prot|AGO3_prot|AHR_prot|AK1_prot|ANP32A_prot|AP1S1_prot|ARHGEF11_prot|ARL14EP_prot|ARMCX3_prot|ARRB1_prot|ASCC3_prot|ATP6V0A2_prot|ATXN10_prot|BAG1_prot|BRIX1_prot|BUD23_prot|C2orf49_prot|CAND1_prot|CBWD2_prot|CCDC174_prot|CD47_prot|CD74_prot|CDK6_prot|CDKN2AIP_prot|CLNS1A_prot|CNST_prot|COG2_prot|COPS3_prot|COX5A_prot|CRIP1_prot|CRNKL1_prot|CWC25_prot|DACH1_prot|DBT_prot|DDX6_prot|DHX36_prot|DHX37_prot|DHX9_prot|DLG1_prot|DNMBP_prot|DRAP1_prot|ECSIT_prot|EEA1_prot|EHD3_prot|EHD4_prot|EIF1AD_prot|EIF3C_prot|ELP5_prot|EPDR1_prot|ERAP2_prot|ERMP1_prot|ETF1_prot|EXOC4_prot|FAM193A_prot|FAM3A_prot|FAM76B_prot|FBXO28_prot|FGFR1OP_prot|FHL3_prot|GAN_prot|GMEB2_prot|GNA15_prot|GOPC_prot|GTPBP2_prot|GUSB_prot|GYG1_prot|HAUS7_prot|HCFC1_prot|HMBS_prot|HMGN1_prot|HMX3_prot|HNRNPLL_prot|HSD17B10_prot|HSD17B11_prot|IGHMBP2_prot|IRF8_prot|ISG20L2_prot|JAK3_prot|KIF2C_prot|LANCL2_prot|LMO4_prot|LSM14A_prot|MAD2L2_prot|MAP3K7_prot|MEFV_prot|MRGBP_prot|MRPL55_prot|MRPL57_prot|MTPAP_prot|MYBBP1A_prot|MYL1_prot|NAA25_prot|NAA35_prot|NDUFC1_prot|NDUFV3_prot|NEDD8_prot|NNT_prot|ORC3_prot|OSBPL11_prot|OSBPL7_prot|P4HTM_prot|PA2G4_prot|PACS1_prot|PAFAH1B2_prot|PAG1_prot|PARVB_prot|PCCB_prot|PCNA_prot|PDK2_prot|PEBP1_prot|PGRMC2_prot|PHKG2_prot|PIGBOS1_prot|PIK3R4_prot|PITHD1_prot|PLOD3_prot|PLPBP_prot|PLS1_prot|POP7_prot|POU2F1_prot|PRAM1_prot|PRRC2B_prot|PTEN_prot|QPCTL_prot|RABAC1_prot|RABEP1_prot|RABGAP1_prot|RANBP3_prot|RCOR3_prot|REXO4_prot|RPS9_prot|RRP1_prot|RSRC1_prot|SAMSN1_prot|SAP30L_prot|SF3B5_prot|SH2D1A_prot|SLC25A24_prot|SNX6_prot|SQSTM1_prot|SSNA1_prot|ST6GAL1_prot|STX17_prot|SURF2_prot|SYAP1_prot|TAB2_prot|TAF3_prot|TCP11L1_prot|TDG_prot|TLN1_prot|TPM2_prot|TTC38_prot|TUBB4B_prot|TXNDC9_prot|UBASH3B_prot|UBE2H_prot|UBR1_prot|UQCR10_prot|USP13_prot|USP48_prot|ZBTB44_prot|ZFP36L2_prot|ZNF420_prot|ZYG11B_prot,167,28.201364527409513,0.37836426939345724,0.7000792413240506,0.5428571428571428,0.003660561140735019,0.036521822554837366,8,INK-128,proteomics
0,gbt,CCDC174_prot|CDK12_prot|CNOT2_prot|DEPTOR_prot|DRAP1_prot|EHD3_prot|EIF4G3_prot|FBXL3_prot|FBXO3_prot|GPCPD1_prot|HPS1_prot|JAK3_prot|KDELC2_prot|LDHB_prot|MED28_prot|MEFV_prot|MGST1_prot|MOSPD2_prot|OGT_prot|OLA1_prot|OXR1_prot|PDK3_prot|PHB2_prot|PI4KA_prot|PSD4_prot|RBM4B_prot|SLC16A3_prot|SLC27A2_prot|SNX6_prot|TXN_prot|ZNF2_prot,31,41.80752816935835,-0.01652459121866623,0.32840246743008394,0.3230769230769231,0.25164577171548846,0.25987361950878973,9,INK-128,proteomics
