,model,feature_names,n_feat,rmse,r2,pearson,spearman,pr,sr,k,drug_name,data_type
0,gbt,AAMP_prot|AARS_prot|ABCB6_prot|ABCF1_prot|ABI1_prot|ABL1_prot|ABL2_prot|ABRAXAS2_prot|ACAA1_prot|ACAP2_prot|ACBD5_prot|ACD_prot|ACOT11_prot|ACPP_prot|ACSF3_prot|ACTR8_prot|ACY3_prot|ADCY7_prot|ADGRG5_prot|ADPGK_prot|AGFG2_prot|AGMAT_prot|AK1_prot|ALAS1_prot|ALDH1A2_prot|ALDH2_prot|ALKBH3_prot|AMDHD2_prot|ANKS1A_prot|ANXA1_prot|AP3D1_prot|APOC2_prot|APTX_prot|ARHGAP15_prot|ARHGAP17_prot|ARHGEF2_prot|ARMC5_prot|ARRB1_prot|ASPH_prot|ATG2A_prot|ATP5MF-PTCD1_prot|ATP6V1H_prot|ATPIF1_prot|ATRN_prot|ATXN1L_prot|AVL9_prot|BAZ2B_prot|BBX_prot|BCL2L13_prot|BCOR_prot|BNIP3L_prot|BRAP_prot|BRMS1_prot|BST2_prot|BTBD1_prot|BUD13_prot|C11orf68_prot|C12orf43_prot|C16orf70_prot|C1RL_prot|C3orf58_prot|C8orf37_prot|CACTIN_prot|CAPRIN1_prot|CARD19_prot|CASP2_prot|CBWD2_prot|CC2D1B_prot|CCDC59_prot|CCDC9_prot|CD177_prot|CD2AP_prot|CD2BP2_prot|CD81_prot|CD82_prot|CDC23_prot|CDIPT_prot|CEP131_prot|CEP192_prot|CFH_prot|CHAC2_prot|CHCHD1_prot|CHCHD6_prot|CHEK1_prot|CHP1_prot|CKAP2_prot|CLASP2_prot|CLCN3_prot|CLN5_prot|CMPK2_prot|CNOT9_prot|CNP_prot|COA5_prot|COG2_prot|COLGALT1_prot|COMMD1_prot|COMMD4_prot|COMT_prot|CPPED1_prot|CPSF2_prot|CRADD_prot|CRAT_prot|CRBN_prot|CRIP1_prot|CSNK2A1_prot|CTSC_prot|CTSW_prot|CWC15_prot|CYB5A_prot|CYHR1_prot|CYP20A1_prot|DACH1_prot|DDRGK1_prot|DDX19A_prot|DDX21_prot|DDX55_prot|DEGS1_prot|DENND6A_prot|DENR_prot|DERA_prot|DGAT1_prot|DGCR8_prot|DHRSX_prot|DHX16_prot|DIS3L_prot|DNAJC10_prot|DNAJC16_prot|DNAJC7_prot|DNTTIP1_prot|DOHH_prot|DPY19L1_prot|DYNC1LI1_prot|ECD_prot|EDC3_prot|EEF1B2_prot|EFL1_prot|EIF2S1_prot|EIF2S2_prot|EIF3B_prot|EIF3J_prot|EIF4G2_prot|ELAC1_prot|ELMO1_prot|ELOA_prot|ELP2_prot|EMC4_prot|ERAP2_prot|ERCC6_prot|ESS2_prot|ESYT1_prot|ESYT2_prot|ETFB_prot|EVL_prot|EXOG_prot|FADS2_prot|FAM111A_prot|FAM118A_prot|FAM172A_prot|FAM213B_prot|FDFT1_prot|FKBP4_prot|FKBP7_prot|FKBP9_prot|FLAD1_prot|FLYWCH2_prot|FMC1_prot|FNDC3A_prot|FOXJ3_prot|FOXO3_prot|FSD1L_prot|FURIN_prot|GAN_prot|GATM_prot|GCSAML_prot|GCSH_prot|GFM1_prot|GHDC_prot|GLIPR1_prot|GLYR1_prot|GNL3_prot|GORASP2_prot|GOT2_prot|GPATCH8_prot|GPN1_prot|GPR107_prot|GPX4_prot|GSTM3_prot|GSTM4_prot|GTF3C4_prot|GUCY1B1_prot|GUSB_prot|H3F3A_prot|H6PD_prot|HADHB_prot|HAUS2_prot|HDAC3_prot|HDAC5_prot|HDHD5_prot|HERC2_prot|HIBADH_prot|HIBCH_prot|HIRA_prot|HIST1H1A_prot|HIST1H1C_prot|HIST1H1D_prot|HIST2H2AB_prot|HIST2H3PS2_prot|HLA-DPA1_prot|HLA-DQB1_prot|HMGN3_prot|HMOX2_prot|HNRNPUL1_prot|HOMER3_prot|HSD17B10_prot|HSD17B7_prot|HTT_prot|HUWE1_prot|IARS2_prot|ICAM2_prot|ICE2_prot|IFI35_prot|IFT122_prot|IGF2BP1_prot|IGHG3_prot|IGKV4-1_prot|IKZF5_prot|IMPDH2_prot|INF2_prot|INPP4A_prot|IQSEC1_prot|IRAK3_prot|IRF2BPL_prot|ISPD_prot|ISYNA1_prot|ITCH_prot|ITFG2_prot|ITGB1BP1_prot|ITGB7_prot|ITPR1_prot|KCTD10_prot|KDM6A_prot|KHNYN_prot|KIF3A_prot|KLF13_prot|KLHL11_prot|KLHL36_prot|KRT1_prot|KRT2_prot|KRT9_prot|LAMP1_prot|LAMTOR5_prot|LAP3_prot|LARS_prot|LDAH_prot|LIMA1_prot|LIN54_prot|LMAN2_prot|LMO7_prot|LNPEP_prot|LPCAT4_prot|LSM6_prot|LZIC_prot|M6PR_prot|MAD2L2_prot|MAF1_prot|MAFG_prot|MAN2A1_prot|MAP2K4_prot|MAP2K5_prot|MAP3K5_prot|MAPRE1_prot|MARVELD1_prot|MAST4_prot|MAT2B_prot|MBNL1_prot|MBP_prot|MCUR1_prot|MDH1_prot|MED23_prot|MED25_prot|MED27_prot|MED28_prot|MEF2D_prot|METTL14_prot|METTL17_prot|MFN1_prot|MGME1_prot|MICALL2_prot|MKL2_prot|MLST8_prot|MLYCD_prot|MMAB_prot|MMGT1_prot|MMP8_prot|MPRIP_prot|MRC2_prot|MRPL11_prot|MRPL24_prot|MRPL33_prot|MRPL4_prot|MRPS36_prot|MSRB2_prot|MTG2_prot|MTIF2_prot|MTSS1_prot|MUT_prot|MZB1_prot|N4BP2L1_prot|NAAA_prot|NAIP_prot|NANS_prot|NCBP3_prot|NCKAP1_prot|NDUFAF8_prot|NDUFS4_prot|NDUFS6_prot|NEIL2_prot|NEK1_prot|NEK6_prot|NEK9_prot|NELFA_prot|NFRKB_prot|NHP2_prot|NKRF_prot|NLRP2_prot|NMRAL1_prot|NPAT_prot|NPC1_prot|NPTN_prot|NRF1_prot|NSD1_prot|NSD3_prot|NSF_prot|NSL1_prot|NSUN4_prot|NSUN6_prot|NUDT12_prot|NUP205_prot|NUP62_prot|NUP88_prot|NUPL2_prot|NUSAP1_prot|ODF2_prot|ODR4_prot|OGFOD2_prot|OPA1_prot|ORMDL1_prot|OS9_prot|OSBPL1A_prot|OSBPL9_prot|OXSR1_prot|PA2G4_prot|PAF1_prot|PAK2_prot|PAPD5_prot|PAXX_prot|PCYT2_prot|PDE6D_prot|PDIA4_prot|PDIA6_prot|PDLIM1_prot|PDSS2_prot|PEPD_prot|PEX14_prot|PEX16_prot|PFDN6_prot|PFKM_prot|PGRMC2_prot|PHACTR2_prot|PHF20L1_prot|PHIP_prot|PIGG_prot|PIK3CA_prot|PIK3R1_prot|PLA2G4A_prot|PLCG1_prot|PLGRKT_prot|PLPBP_prot|PLRG1_prot|PLSCR3_prot|PLXDC2_prot|PMF1_prot|PML_prot|POC1B_prot|POGK_prot|POLR2F_prot|POP1_prot|PPIA_prot|PPP1R14B_prot|PPP3CB_prot|PPP3R1_prot|PPP4R2_prot|PRAF2_prot|PRDM2_prot|PRDX4_prot|PRKAB1_prot|PRPF31_prot|PRPF3_prot|PRPS2_prot|PRPSAP1_prot|PRUNE1_prot|PSMA5_prot|PSMB5_prot|PSMC5_prot|PSMD1_prot|PSTPIP2_prot|PTGES3_prot|PTGR2_prot|PTMA_prot|PTPN7_prot|PUS3_prot|PWP1_prot|PWWP2A_prot|PXN_prot|RAB3C_prot|RAD54L2_prot|RALA_prot|RALGPS2_prot|RANBP3_prot|RANBP9_prot|RANGRF_prot|RAP1GDS1_prot|RBM22_prot|RBM4B_prot|RBM6_prot|RCC1_prot|RCHY1_prot|REPS2_prot|RFLNB_prot|RFTN1_prot|RFX1_prot|RGS10_prot|RGS14_prot|RHBDF2_prot|RHEB_prot|RHOF_prot|RHOT1_prot|RHOT2_prot|RIC8A_prot|RLIM_prot|RNASE3_prot|RNASEH2C_prot|RNASET2_prot|RNF114_prot|RNF185_prot|RPL15_prot|RPL17_prot|RPL18A_prot|RPL21_prot|RPL30_prot|RPL7_prot|RPP25_prot|RPS26_prot|RPS3A_prot|RPS4X_prot|RPUSD3_prot|RRS1_prot|RSRC1_prot|RTCB_prot|RWDD1_prot|SAMD4B_prot|SBNO1_prot|SCAF1_prot|SCRN2_prot|SCRN3_prot|SDHD_prot|SEC13_prot|SEC24B_prot|SEC61G_prot|SEC63_prot|SELENOK_prot|SELENOO_prot|SEPT3_prot|SETD2_prot|SETDB1_prot|SF3B1_prot|SH3GL1_prot|SLC12A2_prot|SLC17A5_prot|SLC25A40_prot|SMIM12_prot|SMPDL3B_prot|SMUG1_prot|SNX30_prot|SON_prot|SPAG9_prot|SPICE1_prot|SPPL2B_prot|SRSF10_prot|SSH1_prot|STK39_prot|STMN1_prot|STRN4_prot|SUN1_prot|SUPT3H_prot|SURF6_prot|SYNGR1_prot|SYPL1_prot|TACC1_prot|TAF10_prot|TAF12_prot|TAF8_prot|TAOK2_prot|TAOK3_prot|TARBP2_prot|TBC1D2_prot|TBC1D5_prot|TBCD_prot|TBPL1_prot|TCF25_prot|TERF1_prot|TFPT_prot|TGFBRAP1_prot|THAP12_prot|TM9SF4_prot|TMED2_prot|TMEM147_prot|TMEM2_prot|TMEM41B_prot|TMEM43_prot|TMUB2_prot|TMX1_prot|TNIP1_prot|TNK2_prot|TNRC6B_prot|TPD52L2_prot|TRAF5_prot|TRIM13_prot|TRIM38_prot|TRIM4_prot|TRIP11_prot|TRIP12_prot|TSR3_prot|TTC4_prot|TUBB8_prot|TUBB_prot|TUBG1_prot|TUBGCP3_prot|TUBGCP5_prot|TXN2_prot|UBA5_prot|UBAP2L_prot|UBAP2_prot|UBASH3B_prot|UBE2F_prot|UBE2J2_prot|UBE2V2_prot|UBQLN4_prot|ULK1_prot|USB1_prot|USF2_prot|USP5_prot|UTP6_prot|UVRAG_prot|VAC14_prot|VARS_prot|VPS18_prot|VPS35_prot|VPS37A_prot|VPS45_prot|VPS8_prot|VRK2_prot|VTI1B_prot|WASHC3_prot|WDR75_prot|WIZ_prot|WWOX_prot|WWP2_prot|YKT6_prot|YTHDC1_prot|YTHDC2_prot|YTHDF3_prot|YWHAE_prot|ZBED1_prot|ZBTB44_prot|ZC3H18_prot|ZDHHC17_prot|ZDHHC2_prot|ZER1_prot|ZNF148_prot|ZNF317_prot|ZNF445_prot|ZNF585B_prot|ZNF611_prot|ZNF646_prot|ZNHIT2_prot|ZNRF2_prot,587,65.622355061947,-0.07555096544282458,0.19545547413260123,0.08928571428571427,0.48511292362054276,0.751672517350277,0,NF-kB Activation Inhibitor,proteomics
0,gbt,ACSS1_prot|AFF4_prot|AK4_prot|ARID3A_prot|ATF1_prot|ATXN3_prot|AUP1_prot|BAZ2B_prot|BCL2L13_prot|BTBD2_prot|CMTR1_prot|COA5_prot|COA7_prot|CWF19L1_prot|CYC1_prot|CYHR1_prot|DGLUCY_prot|DPP8_prot|EARS2_prot|EHD2_prot|ENOSF1_prot|ERCC4_prot|EXOG_prot|FPGS_prot|FYTTD1_prot|GALC_prot|GATAD1_prot|GGA2_prot|GLS_prot|GNPDA2_prot|GXYLT1_prot|HIST1H1C_prot|HMBS_prot|HNRNPUL1_prot|INO80C_prot|IRGQ_prot|JAK2_prot|KDM4B_prot|KIAA1468_prot|MAFG_prot|MCM2_prot|MICU1_prot|MTERF3_prot|N6AMT1_prot|NLE1_prot|NUDT1_prot|NXT2_prot|ODR4_prot|PA2G4_prot|PARK7_prot|PLSCR3_prot|PMS2_prot|PSMA6_prot|RALA_prot|RBL2_prot|SDHAF3_prot|SRPRA_prot|SYNE1_prot|TARS2_prot|TMEM109_prot|UNC45A_prot|USF2_prot|USP39_prot|VPS45_prot|YTHDF3_prot|ZFAND2B_prot,66,49.04475300425634,-0.1506770067807799,0.36970282009829203,0.3,0.1750110870059474,0.27731678036838386,1,NF-kB Activation Inhibitor,proteomics
0,gbt,AFF4_prot|AIMP1_prot|AIP_prot|ALDH2_prot|ANXA1_prot|ATL3_prot|BTBD1_prot|C17orf75_prot|CLCN7_prot|CPSF6_prot|CTSC_prot|CYC1_prot|DBI_prot|DHFR_prot|ERAP2_prot|ERCC4_prot|ETHE1_prot|FBXL17_prot|FECH_prot|GPHN_prot|GSTZ1_prot|HMBS_prot|IGHV3-15_prot|IL1RAP_prot|LYRM1_prot|MARS_prot|METAP1_prot|METAP2_prot|MRPS6_prot|MTIF2_prot|MXRA7_prot|NCF1_prot|NLE1_prot|NPM3_prot|NUDT1_prot|OAT_prot|OMA1_prot|PEPD_prot|PEX16_prot|PHF8_prot|PHKG2_prot|PLP2_prot|PRDM10_prot|PSMA5_prot|PYCR2_prot|R3HDM1_prot|RAB7A_prot|RALA_prot|RBL2_prot|RBM4B_prot|RFTN1_prot|RIOX2_prot|RPL12_prot|RPL21_prot|RRAGD_prot|RTCA_prot|RUFY1_prot|SH2D1A_prot|SHCBP1_prot|SMG6_prot|SNF8_prot|SNX30_prot|SUCLG1_prot|TARS2_prot|TBC1D10A_prot|TIPIN_prot|TMOD2_prot|TNPO3_prot|TPPP3_prot|UBP1_prot|UQCC2_prot|USF2_prot|ZBTB33_prot|ZBTB44_prot,74,49.84586883266234,0.05785910679925721,0.3213231007786745,0.2,0.26261817729505127,0.49300373503999984,2,NF-kB Activation Inhibitor,proteomics
0,gbt,HIRA_prot|HNRNPUL1_prot|INTS9_prot|IPO13_prot|NLE1_prot|PARP2_prot|RFC5_prot|RMDN3_prot|SMN1_prot|TNRC18_prot|UTP6_prot,11,39.65906481538952,0.11188199709535807,0.4072094404070493,0.3991201545806388,0.1484273323448774,0.15744775364491548,3,NF-kB Activation Inhibitor,proteomics
0,gbt,ACOT11_prot|APOL3_prot|APOO_prot|ARHGEF2_prot|CHEK1_prot|CHTF8_prot|DENR_prot|EPM2AIP1_prot|FBL_prot|GZMM_prot|HAUS2_prot|KAT5_prot|KATNAL1_prot|KRT18_prot|MDM1_prot|MYSM1_prot|NDUFS6_prot|NEK6_prot|OGFOD2_prot|PAN3_prot|PANK2_prot|PIK3R4_prot|PLPBP_prot|POC1B_prot|POLR1D_prot|PPP3CB_prot|PYM1_prot|RALA_prot|SLC25A6_prot|TDRD3_prot|WBP4_prot|ZMYND8_prot,32,69.3301049526952,0.05771745233173309,0.25587465272805376,0.12087912087912088,0.3772547115963785,0.6806070200628929,4,NF-kB Activation Inhibitor,proteomics
0,gbt,ACTR5_prot|ATPIF1_prot|BBX_prot|C1orf123_prot|CACYBP_prot|CHM_prot|CPSF3_prot|DDX58_prot|EAF1_prot|EARS2_prot|EPB41L2_prot|EPS15L1_prot|FAM117B_prot|GGCT_prot|GSDMD_prot|H6PD_prot|HERC3_prot|HLA-DRB3_prot|HNRNPUL1_prot|MRPS17_prot|NDUFV3_prot|NUDT2_prot|NUP88_prot|OPA1_prot|PBXIP1_prot|PPP4R3A_prot|PRDM11_prot|PRPF31_prot|PTGR2_prot|PWP1_prot|RAB1B_prot|RAD50_prot|RALA_prot|RANGAP1_prot|RAP1GAP2_prot|RBM4B_prot|RFX2_prot|RRP9_prot|TMEM245_prot|TRA2B_prot|TRIM13_prot|UACA_prot|VPS16_prot|ZFYVE1_prot,44,59.70121078541981,-0.06423855850451443,0.1255073190170085,0.175,0.6558232316173066,0.5327481481378592,5,NF-kB Activation Inhibitor,proteomics
0,gbt,ATPIF1_prot|CHMP2B_prot|FEZ2_prot|GALK1_prot|GPALPP1_prot|GPHN_prot|HMGN1_prot|MAFG_prot|MED9_prot|MRPS18C_prot|NHEJ1_prot|NUP88_prot|PIKFYVE_prot|PLIN3_prot|PPP3CB_prot|PRDM10_prot|PYM1_prot|RALA_prot|REEP5_prot|SINHCAF_prot|SSR2_prot|TFDP1_prot|TRIM56_prot|UTP6_prot|VPS33A_prot|ZBTB9_prot,26,62.57415720754932,-0.028448031493018888,0.33911860201589766,0.1964285714285714,0.21626969823953887,0.4828987562716336,6,NF-kB Activation Inhibitor,proteomics
0,gbt,AAMP_prot|AIP_prot|ARID3A_prot|C5orf51_prot|CAAP1_prot|CCDC97_prot|COX7A2L_prot|FBXL17_prot|GALE_prot|HIST1H1E_prot|HNRNPUL1_prot|MIER3_prot|MIS18A_prot|MLLT10_prot|MYH10_prot|NCKAP1_prot|NUDT1_prot|NUP88_prot|POLR2G_prot|PRDM10_prot|PSMA1_prot|RBL2_prot|RUFY1_prot|SEC24B_prot|SSR4_prot|STAG1_prot|STX17_prot|TRIP12_prot|UNC45A_prot|USF2_prot,30,33.51825083529118,0.15616984930224442,0.40132993124173455,0.47252747252747257,0.15494871455045708,0.0879674246125423,7,NF-kB Activation Inhibitor,proteomics
0,gbt,ABCB6_prot|ABRAXAS2_prot|ABT1_prot|ACTN1_prot|ADPRHL2_prot|AFTPH_prot|AGFG2_prot|APOBEC3C_prot|ARHGEF2_prot|ATP11A_prot|BLOC1S5_prot|BNIP3L_prot|C16orf70_prot|C17orf80_prot|CAMK2D_prot|CAPNS1_prot|CCDC59_prot|CCNL2_prot|CHMP7_prot|CSNK1A1_prot|CTAGE5_prot|CTDP1_prot|DDX20_prot|DGUOK_prot|DIS3L_prot|DNAJC2_prot|DOCK1_prot|DPH6_prot|ELOVL5_prot|EPS15L1_prot|ERAP1_prot|EXOSC4_prot|EZH1_prot|FARSA_prot|FBLL1_prot|FBXL17_prot|FEN1_prot|FERMT3_prot|GPD2_prot|GRAP_prot|GSE1_prot|GSTM4_prot|GTSF1_prot|HIST1H4A_prot|HLA-E_prot|HMBS_prot|HMGXB4_prot|HUWE1_prot|ICAM3_prot|IL18_prot|IMPDH2_prot|KATNAL1_prot|LCHN_prot|LMO7_prot|LUZP1_prot|LYRM1_prot|MAFG_prot|MBP_prot|MDM1_prot|MED9_prot|METTL21A_prot|MGMT_prot|MMP9_prot|MRPS9_prot|MTHFD1L_prot|MYDGF_prot|MYL4_prot|NHEJ1_prot|NT5DC1_prot|NUBP1_prot|NUDT1_prot|OAT_prot|ODR4_prot|OFD1_prot|OGFOD2_prot|P2RX1_prot|PAK1IP1_prot|PDZD8_prot|PHACTR4_prot|PLGRKT_prot|PLPBP_prot|PMF1_prot|POLA1_prot|PPIL3_prot|PPP1R11_prot|PPP2CB_prot|PRKRIP1_prot|PSMB8_prot|PUS3_prot|RAB8A_prot|RALA_prot|RANBP10_prot|RBL2_prot|REPS2_prot|RFK_prot|RFX2_prot|RNASEH2B_prot|RPL7_prot|RSL24D1_prot|RUBCN_prot|SAFB2_prot|SAMD1_prot|SAP30L_prot|SCRN1_prot|SEC22B_prot|SEC23IP_prot|SF3A3_prot|SLU7_prot|SND1_prot|SNRNP25_prot|SNRNP70_prot|SRSF1_prot|STIM2_prot|STK25_prot|STK38_prot|TBCB_prot|TERF1_prot|TFAP4_prot|TGS1_prot|TKTL2_prot|TMEM179B_prot|TPM2_prot|TPX2_prot|TRIM38_prot|TUBA1C_prot|UBA52_prot|UBASH3B_prot|UBE2G2_prot|UBE2J2_prot|UBXN1_prot|USF2_prot|USP5_prot|UTP6_prot|VPS35_prot|WDR45B_prot|WDR89_prot|XPO1_prot|ZBTB9_prot|ZNF384_prot|ZNF740_prot|ZNF800_prot,141,67.13389405190122,-0.02613312046941374,0.38792788966834885,0.221978021978022,0.17051138933192228,0.44562965795360865,8,NF-kB Activation Inhibitor,proteomics
0,gbt,ALG9_prot|ANPEP_prot|ANXA5_prot|APLP2_prot|ARL14EP_prot|ATXN1L_prot|AUP1_prot|CA2_prot|CAMK2D_prot|CLN6_prot|COMMD8_prot|DARS2_prot|DHRS7_prot|EIF2B2_prot|EIF2S1_prot|ELOC_prot|ETNK1_prot|HLA-DMB_prot|HMBS_prot|HPS4_prot|IGSF8_prot|INPPL1_prot|ISOC1_prot|ISYNA1_prot|KAT8_prot|MAPRE2_prot|MBP_prot|MCRS1_prot|MICU1_prot|MPZL1_prot|NOC4L_prot|NT5DC2_prot|PPP2CB_prot|PPP3CB_prot|PTBP3_prot|PYCR2_prot|R3HDM1_prot|RALA_prot|RBL2_prot|RMND1_prot|SAR1B_prot|SCAF8_prot|SEPT1_prot|SLU7_prot|ST6GAL1_prot|TAF15_prot|TMED5_prot|TMEM106B_prot|TPX2_prot|TRIAP1_prot|TRIM11_prot|TTC4_prot|USF2_prot|WASH2P_prot|WASHC4_prot|ZNF384_prot|ZNF618_prot|ZNF627_prot|ZYG11B_prot,59,39.814434066902656,0.293094400058193,0.5644132674250956,0.5956043956043956,0.035497706865378495,0.024612610795286847,9,NF-kB Activation Inhibitor,proteomics
